,ARQQ,EM,KARO,ULCC
ARQQ,1.0,0.054351632181488016,-0.41794518103232103,-0.15500956472139166
EM,0.054351632181488016,1.0,0.17757963970817414,0.08491372051495663
KARO,-0.41794518103232103,0.17757963970817414,1.0,0.5871956362432408
ULCC,-0.15500956472139166,0.08491372051495663,0.5871956362432408,1.0
