,AFRI,BOLT,CNEY,ELTX,EVAX,IMCR,PHVS,TERN,VOR
AFRI,1.0,-0.13557435732145262,0.6909076152710821,0.4610367563517814,0.37871615934980574,0.5342432775938256,0.09487625061879329,-0.1056974537371779,0.6302527850331401
BOLT,-0.13557435732145262,1.0,0.16375911487225708,-0.09407793525969571,0.49056748582623444,-0.018542315917426354,-0.42361438549835634,0.13829557164862125,-0.1430770472737401
CNEY,0.6909076152710821,0.16375911487225708,1.0,0.3910976089763102,0.580732214552142,0.631593216269053,-0.03355259527123491,-0.13689381861023367,0.5212757135663109
ELTX,0.4610367563517814,-0.09407793525969571,0.3910976089763102,1.0,0.05217896023633112,0.3867911827771549,0.21011168665067376,0.21202592329183173,0.4854010912183866
EVAX,0.37871615934980574,0.49056748582623444,0.580732214552142,0.05217896023633112,1.0,0.32503903389161576,-0.4101742136309195,-0.23960030030603377,0.3230065382106066
IMCR,0.5342432775938256,-0.018542315917426354,0.631593216269053,0.3867911827771549,0.32503903389161576,1.0,0.4028500465060743,0.24549568349170806,0.4552846880634255
PHVS,0.09487625061879329,-0.42361438549835634,-0.03355259527123491,0.21011168665067376,-0.4101742136309195,0.4028500465060743,1.0,0.5224936921955345,0.14874687155442226
TERN,-0.1056974537371779,0.13829557164862125,-0.13689381861023367,0.21202592329183173,-0.23960030030603377,0.24549568349170806,0.5224936921955345,1.0,0.12956950977134882
VOR,0.6302527850331401,-0.1430770472737401,0.5212757135663109,0.4854010912183866,0.3230065382106066,0.4552846880634255,0.14874687155442226,0.12956950977134882,1.0
