,ATHA,BIVI,CMPS,LCID
ATHA,1.0,0.4176231645740911,-0.12249925959388483,-0.4556627602776655
BIVI,0.4176231645740911,1.0,-0.12319786693100147,-0.4224285155070787
CMPS,-0.12249925959388483,-0.12319786693100147,1.0,0.04050270472686437
LCID,-0.4556627602776655,-0.4224285155070787,0.04050270472686437,1.0
