,LUCY,LUCYW,SKGRW
LUCY,1.0,0.001208941436980754,-0.08541565212736461
LUCYW,0.001208941436980754,1.0,-0.05280756872691315
SKGRW,-0.08541565212736461,-0.05280756872691315,1.0
