,DIBS,HBANM,LFST,MNDY
DIBS,1.0,-0.12221273172801186,0.27991313154895986,0.0266109036724123
HBANM,-0.12221273172801186,1.0,-0.07312583788916258,-0.005501621043597438
LFST,0.27991313154895986,-0.07312583788916258,1.0,0.6517893040296395
MNDY,0.0266109036724123,-0.005501621043597438,0.6517893040296395,1.0
