,ARBK,BRLT,RELY,XRTX
ARBK,1.0,0.10040358076201525,-0.35516666422571885,-0.513979590496098
BRLT,0.10040358076201525,1.0,0.25396827709079084,-0.02255735104590567
RELY,-0.35516666422571885,0.25396827709079084,1.0,0.35000806810178814
XRTX,-0.513979590496098,-0.02255735104590567,0.35000806810178814,1.0
