,BMBL,BVS,EXEEL,EXEEZ
BMBL,1.0,0.7295453982767341,-0.1427502954942365,0.2261487543754955
BVS,0.7295453982767341,1.0,-0.18602911501022995,0.026608355216925207
EXEEL,-0.1427502954942365,-0.18602911501022995,1.0,0.19803910254479284
EXEEZ,0.2261487543754955,0.026608355216925207,0.19803910254479284,1.0
