,FTHM,VITL,VSTA
FTHM,1.0,-0.09346047694845655,-0.5261415605288029
VITL,-0.09346047694845655,1.0,-0.39990679308767874
VSTA,-0.5261415605288029,-0.39990679308767874,1.0
