code,dt
MCO,2021-01-21
MDLZ,2021-01-21
MDT,2021-01-21
MET,2021-01-21
META,2021-01-21
MGM,2021-01-21
MHK,2021-01-21
MKC,2021-01-21
MKTX,2021-01-21
MLM,2021-01-21
MMC,2021-01-21
MMM,2021-01-21
MNST,2021-01-21
MO,2021-01-21
MOH,2021-01-21
MOS,2021-01-21
MPC,2021-01-21
MPWR,2021-01-21
MRK,2021-01-21
MRNA,2021-01-21
MS,2021-01-21
MSCI,2021-01-21
MSFT,2021-01-21
MSI,2021-01-21
MTB,2021-01-21
MTCH,2021-01-21
MTD,2021-01-21
MU,2021-01-21
NCLH,2021-01-21
NDAQ,2021-01-21
NDSN,2021-01-21
NEE,2021-01-21
NEM,2021-01-21
NFLX,2021-01-21
NI,2021-01-21
NKE,2021-01-21
NOC,2021-01-21
NOW,2021-01-21
NRG,2021-01-21
NSC,2021-01-21
NTAP,2021-01-21
NTRS,2021-01-21
NUE,2021-01-21
NVDA,2021-01-21
NVR,2021-01-21
NWS,2021-01-21
NWSA,2021-01-21
NXPI,2021-01-21
O,2021-01-21
ODFL,2021-01-21
OKE,2021-01-21
OMC,2021-01-21
ON,2021-01-21
ORCL,2021-01-21
ORLY,2021-01-21
OXY,2021-01-21
PANW,2021-01-21
PARA,2021-01-21
PAYC,2021-01-21
PAYX,2021-01-21
PCAR,2021-01-21
PCG,2021-01-21
PEG,2021-01-21
PEP,2021-01-21
PFE,2021-01-21
PFG,2021-01-21
PG,2021-01-21
PGR,2021-01-21
PH,2021-01-21
PHM,2021-01-21
PKG,2021-01-21
PLD,2021-01-21
PM,2021-01-21
PNC,2021-01-21
PNR,2021-01-21
PNW,2021-01-21
PODD,2021-01-21
POOL,2021-01-21
PPG,2021-01-21
PPL,2021-01-21
PRU,2021-01-21
PSA,2021-01-21
PSX,2021-01-21
PTC,2021-01-21
PWR,2021-01-21
PYPL,2021-01-21
QCOM,2021-01-21
RCL,2021-01-21
REG,2021-01-21
REGN,2021-01-21
RF,2021-01-21
RJF,2021-01-21
RL,2021-01-21
RMD,2021-01-21
ROK,2021-01-21
ROL,2021-01-21
ROP,2021-01-21
ROST,2021-01-21
RSG,2021-01-21
RTX,2021-01-21
RVTY,2021-01-21
SBAC,2021-01-21
SBUX,2021-01-21
SCHW,2021-01-21
SHW,2021-01-21
SJM,2021-01-21
SLB,2021-01-21
SMCI,2021-01-21
SNA,2021-01-21
SNPS,2021-01-21
SO,2021-01-21
SPG,2021-01-21
SPGI,2021-01-21
SRE,2021-01-21
STE,2021-01-21
STLD,2021-01-21
STT,2021-01-21
STX,2021-01-21
STZ,2021-01-21
SWK,2021-01-21
SWKS,2021-01-21
SYF,2021-01-21
SYK,2021-01-21
SYY,2021-01-21
T,2021-01-21
TAP,2021-01-21
TDG,2021-01-21
TDY,2021-01-21
TECH,2021-01-21
TEL,2021-01-21
TER,2021-01-21
TFC,2021-01-21
TGT,2021-01-21
TJX,2021-01-21
TKO,2021-01-21
TMO,2021-01-21
TMUS,2021-01-21
TPL,2021-01-21
TPR,2021-01-21
TRGP,2021-01-21
TRMB,2021-01-21
TROW,2021-01-21
TRV,2021-01-21
TSCO,2021-01-21
TSLA,2021-01-21
TSN,2021-01-21
TT,2021-01-21
TTWO,2021-01-21
TXN,2021-01-21
TXT,2021-01-21
TYL,2021-01-21
UAL,2021-01-21
UBER,2021-01-21
UDR,2021-01-21
UHS,2021-01-21
ULTA,2021-01-21
UNH,2021-01-21
UNP,2021-01-21
UPS,2021-01-21
URI,2021-01-21
USB,2021-01-21
V,2021-01-21
VICI,2021-01-21
VLO,2021-01-21
VMC,2021-01-21
VRSK,2021-01-21
VRSN,2021-01-21
VRTX,2021-01-21
VST,2021-01-21
VTR,2021-01-21
VTRS,2021-01-21
VZ,2021-01-21
WAB,2021-01-21
WAT,2021-01-21
WBA,2021-01-21
WBD,2021-01-21
WDAY,2021-01-21
WDC,2021-01-21
WEC,2021-01-21
WELL,2021-01-21
WFC,2021-01-21
WM,2021-01-21
WMB,2021-01-21
WMT,2021-01-21
WRB,2021-01-21
WSM,2021-01-21
WST,2021-01-21
WTW,2021-01-21
WY,2021-01-21
WYNN,2021-01-21
XEL,2021-01-21
XOM,2021-01-21
XYL,2021-01-21
YUM,2021-01-21
ZBH,2021-01-21
ZBRA,2021-01-21
ZTS,2021-01-21
