input,time,task,horizon,mae,mse,rmse,r2,accuracy,precission,recall,F1,MCC,bce,WS-dist
corr,-100,regression,day1,0.007812182458901098,0.00011572515924645571,0.01075756288600981,0.8187631092813986,,,,,,,0.0031121536144705837
corr,-100,regression,day5,0.006361069389355988,7.262294900124304e-05,0.0085219099385785,0.8141418114586717,,,,,,,0.0013224711940460388
corr,-100,regression,day20,0.014007893061818402,0.0006295290744978111,0.025090417981727828,0.5111380811641317,,,,,,,0.010057917973303125
corr,-120,regression,day1,0.006969019675148512,9.78018103275882e-05,0.009889479780432751,0.7861550604796634,,,,,,,0.002867687495146741
corr,-120,regression,day5,0.005648624487190876,6.161051396308974e-05,0.007849236521031184,0.8232596629103484,,,,,,,0.001557214108014947
corr,-120,regression,day20,0.005659359072579345,6.303249113144605e-05,0.007939300418263944,0.8106253094036109,,,,,,,0.0008446284904276984
corr,-20,regression,day1,0.01576790988907435,0.00037120395728047973,0.019266654023999075,-0.22123268528962692,,,,,,,0.008294787134014185
corr,-20,regression,day5,0.010370435258075942,0.0001781719708437804,0.013348107388082417,0.592623265623917,,,,,,,0.0029260163269503917
corr,-20,regression,day20,0.009147340520783089,0.00018032574279538247,0.01342854209493281,0.6573551347577684,,,,,,,0.00305236981275943
corr,-40,regression,day1,0.007336471762794936,8.403048794010028e-05,0.009166814492510486,0.7037659264699653,,,,,,,0.005264542038740836
corr,-40,regression,day5,0.008987188375493723,0.00012334025177577275,0.01110586564729525,0.549312267802192,,,,,,,0.005862848427588749
corr,-40,regression,day20,0.01034539586301146,0.0001648636957221807,0.01283992584566518,0.47405955522438326,,,,,,,0.007089814472967926
corr,-60,regression,day1,0.009237279432655444,0.0002063984251520053,0.014366573187507357,0.6147548185154551,,,,,,,0.0042678796747344806
corr,-60,regression,day5,0.012215035790592441,0.0003383019205268263,0.01839298563384494,0.612395991367633,,,,,,,0.0032258847610250573
corr,-60,regression,day20,0.011710882994679319,0.0002635361435875602,0.016233796339352055,0.5922277532800279,,,,,,,0.0032704067127633466
corr,-80,regression,day1,0.0691614946312291,0.006058186182431228,0.07783435091546166,-2.945641189884076,,,,,,,0.06905084397791256
