input,horizon,mae,mse,rmse,r2,accuracy,precission,recall,F1,MCC,bce,WS-dist
DSE,day1,0.0081606998425791,0.0001241207225898,0.0111409480112712,0.7286084140309677,0.9585253596305848,0.8648648648648649,0.8888888888888888,0.8767123287671232,0.8519027299413586,0.0851008221507072,0.0041878517833751
DSE,day20,0.0062676090899325,7.188795125716131e-05,0.0084786762679772,0.7840199826698344,0.9096774458885192,0.9085002707092582,0.8826933193056287,0.8954108858057631,0.8162213340336456,0.199655219912529,0.0023409149663277
DSE,day5,0.0060385329137955,6.768944985556601e-05,0.0082273598350604,0.8058211916223748,0.8995391726493835,0.8919597989949749,0.8432304038004751,0.8669108669108669,0.7871324680828148,0.2083723694086074,0.0020559725519183
corr,day1,0.0069690196751485,9.78018103275882e-05,0.0098894797804327,0.7861550604796634,0.9539170265197754,0.825,0.9166666666666666,0.868421052631579,0.8422960830820514,0.0940174385905265,0.0028676874951467
corr,day20,0.0056593590725793,6.303249113144605e-05,0.0079393004182639,0.8106253094036109,0.9131336212158204,0.9123376623376624,0.8869016307206733,0.8994398506268338,0.8232665440984651,0.1970366835594177,0.0008446284904276
corr,day5,0.0056486244871908,6.161051396308974e-05,0.0078492365210311,0.8232596629103484,0.9096774458885192,0.8836104513064132,0.8836104513064132,0.8836104513064132,0.8098152705835218,0.2106877863407135,0.0015572141080149
random1,day1,0.0073368393669498,9.340579084296832e-05,0.0096646671356528,0.795767014672229,0.9447004795074464,0.8157894736842105,0.8611111111111112,0.8378378378378378,0.8049611221870183,0.1251795589923858,0.0039576540974382
random1,day20,0.0057886731876911,6.062498138850516e-05,0.0077862045560404,0.8178584268719726,0.9110599160194396,0.9164376030786148,0.8769068911099421,0.896236559139785,0.8190893342229384,0.1994258612394333,0.0020210981991663
random1,day5,0.0058830771953394,6.091826952064716e-05,0.0078050156643434,0.8252454849435656,0.9004608392715454,0.8807785888077859,0.8598574821852731,0.8701923076923077,0.7896437403066795,0.2118819952011108,0.0020486087614012
random2,day1,0.0067256459088949,8.933737142459322e-05,0.0094518448688387,0.804662667028271,0.9539170265197754,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8334868017188459,0.1031965985894203,0.0042130920641642
random2,day20,0.0060683057356062,6.670505154372311e-05,0.0081673160550895,0.7995914762282543,0.9140552878379822,0.9230343300110742,0.8769068911099421,0.8993795521985433,0.8252856845229689,0.204841673374176,0.002591151541497
random2,day5,0.0054604320335534,5.524216752814335e-05,0.0074325074859123,0.8415283580277176,0.9105990529060364,0.9090909090909092,0.8551068883610451,0.8812729498164015,0.8106637737354452,0.2172366678714752,0.0014821465949231
random3,day1,0.0069818652610424,8.749342264625116e-05,0.0093537918859813,0.8086944851885114,0.9539170265197754,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8334868017188459,0.1277685314416885,0.0028250220647972
random3,day20,0.0054410270191085,5.500467871001846e-05,0.0074165139189526,0.8347440530259022,0.9140552878379822,0.9147665580890336,0.8863755917937928,0.9003473149879776,0.8251451672931789,0.1998119503259658,0.0007604529771408
random3,day5,0.0055055304988891,6.028432918915531e-05,0.0077642983706936,0.8270640516244039,0.9115207195281982,0.9012345679012346,0.8669833729216152,0.8837772397094431,0.8127893554199511,0.2140294909477234,0.0015652421999178
