input,time,horizon,mae,mse,rmse,r2,accuracy,precission,recall,F1,MCC,bce,WS-dist
corr,-120,day1,0.0069690196751485,9.78018103275882e-05,0.0098894797804327,0.7861550604796634,0.9539170265197754,0.825,0.9166666666666666,0.868421052631579,0.8422960830820514,0.0940174385905265,0.0028676874951467
corr,-100,day1,0.007812182458901,0.0001157251592464,0.0107575628860098,0.8187631092813986,0.9585253596305848,0.8846153846153846,0.9387755102040816,0.9108910891089108,0.8845578315986792,0.1199148744344711,0.0031121536144705
corr,-80,day1,0.0691614946312291,0.0060581861824312,0.0778343509154616,-2.945641189884076,0.921658992767334,0.32,1.0,0.4848484848484848,0.5421911949359088,0.2692137062549591,0.0690508439779125
corr,-60,day1,0.0092372794326554,0.000206398425152,0.0143665731875073,0.6147548185154551,0.9078341126441956,0.8235294117647058,0.9333333333333332,0.875,0.8064010494414774,0.2294997423887252,0.0042678796747344
corr,-40,day1,0.0073364717627949,8.403048794010028e-05,0.0091668144925104,0.7037659264699653,0.940092146396637,1.0,0.7719298245614035,0.8712871287128713,0.844939960687513,0.1394483745098114,0.0052645420387408
corr,-20,day1,0.0157679098890743,0.0003712039572804,0.019266654023999,-0.2212326852896269,0.9769585132598876,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7586368334335212,0.1170344874262809,0.0082947871340141
corr,0,day1,0.0103347031164873,0.0002435434205551,0.0156058777566396,0.3186195857825634,0.921658992767334,0.975,0.9230769230769232,0.9483282674772036,0.7919782397034294,0.1649876981973648,0.0047337141630916
DSE,-120,day1,0.0081606998425791,0.0001241207225898,0.0111409480112712,0.7286084140309677,0.9585253596305848,0.8648648648648649,0.8888888888888888,0.8767123287671232,0.8519027299413586,0.0851008221507072,0.0041878517833751
DSE,-100,day1,0.0078261671693937,0.0001146878594454,0.010709241777336,0.8203876219794438,0.9585253596305848,0.9347826086956522,0.8775510204081632,0.9052631578947368,0.8794669908978351,0.1121984794735908,0.0044082171954226
DSE,-80,day1,0.0713372745094131,0.0064517592470306,0.0803228438679226,-3.2019717231740383,0.8663594722747803,0.2162162162162162,1.0,0.3555555555555555,0.431526271572228,0.3607239723205566,0.0702580072244084
DSE,-60,day1,0.0099973632465337,0.0001846976278366,0.0135903505413442,0.655259621756902,0.9078341126441956,0.9230769230769232,0.8,0.8571428571428571,0.7940316477488363,0.2186783850193023,0.0027994733720501
DSE,-40,day1,0.0162833014766414,0.0003606758152397,0.0189914669059489,-0.2714964364886392,0.9447004795074464,0.9090909090909092,0.8771929824561403,0.8928571428571429,0.8558539496465523,0.1525184363126754,0.0153518057617278
DSE,-20,day1,0.0225994161859123,0.0006580968604377,0.0256533986137857,-1.165088438014263,0.9769585132598876,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7586368334335212,0.0621842443943023,0.0202320261046214
DSE,0,day1,0.012791541444394,0.0003783039440096,0.0194500371210363,-0.0584104365529771,0.930875599384308,0.98125,0.9289940828402368,0.9544072948328268,0.8172071413498834,0.159882441163063,0.0083116252241078
corr,-120,day5,0.0056486244871908,6.161051396308974e-05,0.0078492365210311,0.8232596629103484,0.9096774458885192,0.8836104513064132,0.8836104513064132,0.8836104513064132,0.8098152705835218,0.2106877863407135,0.0015572141080149
corr,-100,day5,0.0063610693893559,7.262294900124304e-05,0.0085219099385785,0.8141418114586717,0.930875599384308,0.8989010989010989,0.9337899543378996,0.916013437849944,0.8577669054044735,0.1655659675598144,0.001322471194046
corr,-80,day5,0.0311452695697552,0.0018374253400271,0.0428651996382514,0.1207095871325544,0.8073732852935791,0.6632231404958677,0.8746594005449592,0.754406580493537,0.6164089498744513,0.431805670261383,0.0235196619061183
corr,-60,day5,0.0122150357905924,0.0003383019205268,0.0183929856338449,0.612395991367633,0.9419354796409608,0.9398663697104676,0.9213973799126638,0.9305402425578831,0.880795441877877,0.158714547753334,0.003225884761025
corr,-40,day5,0.0089871883754937,0.0001233402517757,0.0111058656472952,0.549312267802192,0.9115207195281982,0.975103734439834,0.8483754512635379,0.9073359073359072,0.8307732991297708,0.2066380083560943,0.0058628484275887
corr,-20,day5,0.0103704352580759,0.0001781719708437,0.0133481073880824,0.592623265623917,0.9059907793998718,0.8173076923076923,0.9289617486338798,0.8695652173913043,0.8005380031473764,0.271646112203598,0.0029260163269503
corr,0,day5,0.0085566312953541,0.0001660826702759,0.0128873065562965,0.5735338844113738,0.9013825058937072,0.9221014492753624,0.8883071553228621,0.9048888888888889,0.8031737706420841,0.2214201837778091,0.0042497609598968
