input,time,horizon,mae,mse,rmse,r2,accuracy,precission,recall,F1,MCC,bce,WS-dist
DSE,-120,day5,0.0060385329137955,6.768944985556601e-05,0.0082273598350604,0.8058211916223748,0.8995391726493835,0.8919597989949749,0.8432304038004751,0.8669108669108669,0.7871324680828148,0.2083723694086074,0.0020559725519183
DSE,-100,day5,0.005906479313446,6.599006161819087e-05,0.0081234267164904,0.8311168372703006,0.9354838728904724,0.9181818181818182,0.9223744292237442,0.9202733485193622,0.8661005928602035,0.1602899581193924,0.0027737259971262
DSE,-80,day5,0.0326932434425311,0.0019906700898714,0.044616926046865,0.0473751030449732,0.8313363790512085,0.7044444444444444,0.8637602179836512,0.7760097919216646,0.6515788754698113,0.4590229988098144,0.0242247375791013
DSE,-60,day5,0.0159452922122994,0.0004463786908797,0.0211276759460136,0.4885687622357302,0.9271889328956604,0.9656019656019657,0.8580786026200873,0.908670520231214,0.8525716184711521,0.1893111616373062,0.0057589829823527
DSE,-40,day5,0.0138078170242485,0.0002652773245886,0.0162873363257673,0.0306713817990627,0.937327206134796,0.95,0.9259927797833934,0.9378427787934186,0.8749579621230817,0.1586345583200454,0.0123967126523187
DSE,-20,day5,0.0109877563436253,0.0002264694539169,0.01504890208344,0.4821947238069231,0.9170507192611694,0.8631578947368421,0.8961748633879781,0.8793565683646113,0.816522079921453,0.21437369287014,0.0054522761024924
DSE,0,day5,0.0084778519077114,0.0001624899921485,0.012747156237708,0.5827591424290661,0.90506911277771,0.9384328358208956,0.8778359511343804,0.9071235347159604,0.8121546268267433,0.2248201072216034,0.0032759549300472
corr,-120,day20,0.0056593590725793,6.303249113144605e-05,0.0079393004182639,0.8106253094036109,0.9131336212158204,0.9123376623376624,0.8869016307206733,0.8994398506268338,0.8232665440984651,0.1970366835594177,0.0008446284904276
corr,-100,day20,0.0140078930618184,0.0006295290744978,0.0250904179817278,0.5111380811641317,0.9018433094024658,0.9221774193548388,0.9075396825396824,0.9148,0.7991988732670605,0.2265529036521911,0.0100579179733031
corr,-80,day20,0.0166837490132451,0.000666659149205,0.0258197433992867,0.420495120022057,0.8769585490226746,0.8494921514312096,0.8984375,0.8732795443758898,0.7550088669393353,0.289503812789917,0.0072411755011906
corr,-60,day20,0.0117108829946793,0.0002635361435875,0.016233796339352,0.5922277532800279,0.913364052772522,0.9227078891257996,0.882262996941896,0.9020323084940072,0.8251137247962748,0.2095431685447693,0.0032704067127633
corr,-40,day20,0.0103453958630114,0.0001648636957221,0.0128399258456651,0.4740595552243832,0.8944700360298157,0.9631363370392042,0.8064674179323861,0.8778666666666667,0.7958528575493509,0.2513757944107055,0.0070898144729679
corr,-20,day20,0.009147340520783,0.0001803257427953,0.0134285420949328,0.6573551347577684,0.8788018226623535,0.865625,0.861139896373057,0.8633766233766234,0.7544834716299396,0.3119771182537079,0.0030523698127594
corr,0,day20,0.0081118263665615,0.0001391068181199,0.0117943553499118,0.6701852833315947,0.9101382493972778,0.9320099255583126,0.8812763960581886,0.9059334298118668,0.8212226948059168,0.199385181069374,0.0035761697063085
DSE,-120,day20,0.0062676090899325,7.188795125716131e-05,0.0084786762679772,0.7840199826698344,0.9096774458885192,0.9085002707092582,0.8826933193056287,0.8954108858057631,0.8162213340336456,0.199655219912529,0.0023409149663277
DSE,-100,day20,0.0136404331526427,0.000613363008824,0.0247661666154458,0.52369186812245,0.9029954075813292,0.924726831242412,0.9067460317460316,0.91564816670006,0.8017648720764512,0.2240032255649566,0.0095928586835165
DSE,-80,day20,0.0164300900640861,0.0006864998671162,0.02620114247731,0.4032482362650922,0.865898609161377,0.861439842209073,0.85302734375,0.8572129538763493,0.7308381470327192,0.3178330063819885,0.007884425903319
DSE,-60,day20,0.0133483031702396,0.0003435450471046,0.0185349682250769,0.4684291353727685,0.9152073860168456,0.9398454746136864,0.8679918450560652,0.9024907260201378,0.8297389958316336,0.2081084996461868,0.0022462754298321
DSE,-40,day20,0.0155851296253208,0.0003383358628798,0.0183939083089978,-0.0793432321595932,0.92580646276474,0.9369598373157092,0.9029887310142088,0.9196606786427146,0.8512837619891143,0.1776893883943557,0.0138938861988081
DSE,-20,day20,0.0096491574424053,0.0002003931454644,0.0141560285908322,0.6192241814245552,0.9069124460220336,0.8799800796812749,0.9155440414507772,0.8974098527171153,0.8128089321416756,0.2352057248353958,0.0046896833895606
DSE,0,day20,0.0082869281998589,0.0001370594355669,0.0117072385969946,0.6750395162568182,0.9126728177070618,0.9375624375624376,0.8808071328015017,0.908299056375514,0.8265681645662651,0.2045453339815139,0.0021934630546628
