Date,Stock,Open,High,Low,Close,Volume,Turnover
2020-03-12,EDIT,19.01000022888184,19.18000030517578,16.940000534057617,17.760000228881836,1757500,0.0211807457705033
2020-03-13,EDIT,19.43000030517578,19.459999084472656,16.760000228881836,19.350000381469727,1615600,0.0194706189853913
2020-03-16,EDIT,14.829999923706056,17.049999237060547,14.010000228881836,14.880000114440918,1518500,0.0183004053783836
2020-03-17,EDIT,15.489999771118164,17.22599983215332,14.100000381469728,16.780000686645508,1642500,0.0197948079249227
2020-03-18,EDIT,16.059999465942383,18.82299995422364,15.369999885559082,18.290000915527344,1918000,0.0231150329375962
2020-03-19,EDIT,18.18000030517578,20.959999084472656,17.739999771118164,20.0,1674000,0.0201744343782774
2020-03-20,EDIT,20.5,20.940000534057617,18.520000457763672,19.07999992370605,1421600,0.017132602098064
2020-03-23,EDIT,19.0,20.420000076293945,18.799999237060547,19.57999992370605,1348400,0.0162504225302684
2020-03-24,EDIT,20.479999542236328,21.8700008392334,19.96999931335449,21.700000762939453,1166100,0.0140534097541871
2020-03-25,EDIT,21.90999984741211,23.26300048828125,20.540000915527344,20.84000015258789,1528800,0.0184245372028139
2020-03-26,EDIT,21.200000762939453,22.34499931335449,20.26499938964844,21.0,775200,0.0093424262425571
2020-03-27,EDIT,20.479999542236328,20.86000061035156,19.700000762939453,19.959999084472656,919100,0.0110766562945488
2020-03-30,EDIT,20.1299991607666,20.80500030517578,19.429000854492188,20.25,722600,0.008708510323622
2020-03-31,EDIT,20.170000076293945,20.299999237060547,19.229999542236328,19.82999992370605,706500,0.0085144790252407
2020-04-01,EDIT,19.63999938964844,20.48500061035156,18.299999237060547,18.5,993500,0.0119732978224723
2020-04-02,EDIT,18.5,20.0,18.200000762939453,19.979999542236328,701100,0.0084494002046656
2020-04-03,EDIT,20.170000076293945,20.32999992370605,18.950000762939453,19.559999465942383,537700,0.0064801633005972
2020-04-06,EDIT,20.200000762939453,21.440000534057617,20.200000762939453,21.350000381469727,836600,0.0100823965357627
2020-04-07,EDIT,21.950000762939453,22.25,20.8799991607666,21.1200008392334,1422700,0.0171458588948478
2020-04-08,EDIT,21.520000457763672,21.549999237060547,20.14999961853028,20.61000061035156,893800,0.0107717499685211
2020-04-09,EDIT,21.25,22.239999771118164,20.979999542236328,22.1299991607666,783200,0.0094388393100758
2020-04-13,EDIT,22.059999465942383,22.56999969482422,21.520000457763672,22.350000381469727,484000,0.0058329905848783
2020-04-14,EDIT,22.5,23.57999992370605,22.5,23.309999465942383,630700,0.0076009652105015
2020-04-15,EDIT,22.600000381469727,23.15999984741211,21.864999771118164,22.530000686645508,606500,0.0073093156812576
2020-04-16,EDIT,22.6200008392334,23.36000061035156,22.21999931335449,23.25,484400,0.0058378112382542
2020-04-17,EDIT,23.950000762939453,24.18000030517578,23.32999992370605,24.0,590300,0.0071140792195323
2020-04-20,EDIT,23.950000762939453,26.5,23.56999969482422,24.81999969482422,1136600,0.0136978865677121
2020-04-21,EDIT,24.5,24.90999984741211,23.18000030517578,23.63999938964844,667200,0.0080408498310553
2020-04-22,EDIT,24.11000061035156,24.739999771118164,23.7450008392334,24.31999969482422,474600,0.0057197052305438
2020-04-23,EDIT,24.280000686645508,25.545000076293945,24.018999099731445,24.049999237060547,553300,0.0066681687822586
2020-04-24,EDIT,24.049999237060547,25.187000274658203,23.71500015258789,25.01000022888184,524900,0.0063259023925674
2020-04-27,EDIT,25.38999938964844,26.5049991607666,25.13999938964844,25.39999961853028,835200,0.010065524248947
2020-04-28,EDIT,25.700000762939453,25.75,24.209999084472656,24.56999969482422,587300,0.0070779243192128
2020-04-29,EDIT,25.200000762939453,25.24799919128418,24.14999961853028,24.299999237060547,745800,0.0089881082194261
2020-04-30,EDIT,24.0,24.78499984741211,23.01000022888184,23.1200008392334,847500,0.0102137593402569
2020-05-01,EDIT,22.68000030517578,22.929000854492188,21.40999984741211,22.200000762939453,898200,0.0108247771556563
2020-05-04,EDIT,22.450000762939453,25.0,21.950000762939453,24.940000534057617,819600,0.0098775187672856
2020-05-05,EDIT,25.21999931335449,26.11000061035156,25.07999992370605,25.600000381469727,813300,0.0098015934766147
2020-05-06,EDIT,25.34000015258789,25.65999984741211,24.51000022888184,25.01000022888184,701300,0.0084518105313536
2020-05-07,EDIT,25.280000686645508,25.479999542236328,23.81999969482422,24.100000381469727,1088800,0.0131218184892882
2020-05-08,EDIT,24.36000061035156,25.18000030517578,23.780000686645508,24.709999084472656,723300,0.0087169464670299
2020-05-11,EDIT,24.82999992370605,27.81999969482422,24.40999984741211,27.43000030517578,1919300,0.023130700061068
2020-05-12,EDIT,27.5,27.89999961853028,25.46999931335449,25.475000381469727,1121400,0.0135147017394267
2020-05-13,EDIT,26.0,26.68000030517578,23.51000022888184,24.51000022888184,938300,0.0113080476565936
2020-05-14,EDIT,24.440000534057617,24.8799991607666,23.600000381469727,24.32999992370605,787800,0.009494276823899
2020-05-15,EDIT,24.549999237060547,26.43000030517578,24.47100067138672,26.280000686645508,780900,0.0094111205531641
2020-05-18,EDIT,27.26000022888184,27.809999465942383,26.440000534057617,27.059999465942383,1378000,0.0166071508800874
2020-05-19,EDIT,26.8700008392334,28.0,26.8700008392334,27.06999969482422,792500,0.0095509195010662
2020-05-20,EDIT,27.6299991607666,28.790000915527344,27.395000457763672,28.559999465942383,909800,0.0109645761035584
2020-05-21,EDIT,28.61000061035156,29.700000762939453,27.76000022888184,29.280000686645508,810200,0.0097642334129512
2020-05-22,EDIT,29.3700008392334,30.190000534057617,28.690000534057617,30.100000381469727,693000,0.008351781973803
2020-05-26,EDIT,31.0,31.280000686645508,27.299999237060547,27.40999984741211,1620400,0.0195284668259024
2020-05-27,EDIT,27.5,28.049999237060547,25.81999969482422,27.86000061035156,1056400,0.0127313455658376
2020-05-28,EDIT,27.84000015258789,28.39999961853028,27.08799934387207,27.290000915527344,623000,0.0075081676330148
2020-05-29,EDIT,27.290000915527344,27.839000701904297,26.209999084472656,27.06999969482422,1041300,0.0125493659008962
2020-06-01,EDIT,27.8700008392334,28.020000457763672,26.61000061035156,27.420000076293945,858300,0.0103439169814071
2020-06-02,EDIT,27.420000076293945,28.46999931335449,26.71999931335449,28.21999931335449,880900,0.0106162838971473
2020-06-03,EDIT,28.21999931335449,28.950000762939453,27.40999984741211,27.459999084472656,678700,0.0081794436156134
2020-06-04,EDIT,27.32999992370605,28.5,26.90999984741211,27.040000915527344,644300,0.0077648674252832
