dt,mae,mse,rmse,r2,WS-dist,KS-d,KS-p
2025-02-06,0.007671594451335535,0.00014846948072728727,0.01218480532168189,0.7093849657955729,0.0040719991521147,0.0967741935483871,0.2619046604443652
2025-02-07,0.014612340504694067,0.0004200403865383986,0.02049488683887761,-0.1751790940370761,0.010541049242548207,0.2764976958525346,1.0438916847221979e-07
2025-02-10,0.006934295153912846,8.535016316799336e-05,0.009238515203645733,0.6232152688440507,0.0034618347947064634,0.12442396313364056,0.0694415028112945
2025-02-11,0.009464032178609855,0.00017047116059948906,0.013056460492778626,0.36832938630707457,0.008245476890328103,0.37327188940092165,7.574333118866867e-14
2025-02-12,0.0077623950223993906,0.00012734764074517107,0.01128484119273156,0.7128388274962276,0.003082535150964378,0.12903225806451613,0.053853691265248305
2025-02-13,0.007131233910313875,9.760658492512221e-05,0.00987960449234291,0.7411632614628356,0.0035570590710094115,0.12903225806451613,0.053853691265248305
2025-02-14,0.00559323781221136,5.9792694082133625e-05,0.007732573574311054,0.8037549166567709,0.0032183381874897245,0.15668202764976957,0.009622543216622596
2025-02-17,0.010407721627557634,0.00018321903505866618,0.013535842606157408,0.6440039183750328,0.0078010497833181265,0.2073732718894009,0.0001691426646003246
2025-02-18,0.010164604040760795,0.00021136498070169137,0.01453839677205473,0.45732897731612165,0.0076579866166286165,0.17972350230414746,0.0017679971932963929
2025-02-19,0.009556347547310941,0.00019756531259834318,0.014055792848443063,0.47111065490699167,0.008124041202375563,0.2626728110599078,5.460127564262625e-07
2025-02-20,0.010203168207753171,0.00017508671649372063,0.013232033724780202,0.31727958744931894,0.00751326133827552,0.2764976958525346,1.0438916847221979e-07
2025-02-21,0.007136877991287805,0.0001133411804070916,0.010646181494183329,0.7308424221913208,0.0028596229928716296,0.0967741935483871,0.2619046604443652
2025-02-24,0.007368774446280804,0.00010088047745187373,0.010043927391806142,0.7319961270006798,0.004132025468158281,0.14285714285714285,0.023746515194130693
2025-02-25,0.009762799262911032,0.0001637769271077295,0.012797535977981445,0.12891682958143524,0.006987113138936234,0.31797235023041476,4.248576807255117e-10
2025-02-26,0.008698339828335752,0.00011676649213523518,0.010805854530542005,0.5052585097950817,0.006825040783275454,0.2764976958525346,1.0438916847221979e-07
2025-02-27,0.00693458700447221,8.765619811861013e-05,0.009362488884832394,0.8113536969020987,0.0026009946053059726,0.0967741935483871,0.2619046604443652
2025-02-28,0.01643146466281803,0.0003910193904409445,0.019774210235580698,0.336264601448811,0.014945665522797576,0.35023041474654376,3.3175430727141205e-12
2025-03-03,0.0058550648912640765,7.281120129357705e-05,0.00853294798376136,0.820677779364214,0.003364457905426453,0.12442396313364056,0.0694415028112945
2025-03-04,0.005442472620890774,6.80965514697353e-05,0.0082520634673841,0.6856422901935255,0.0031616988918788044,0.11059907834101383,0.14073859130749028
2025-03-05,0.005827093300729689,6.39469413182532e-05,0.007996683144795297,0.7118788592917193,0.002198505735060429,0.059907834101382486,0.8321783340674959
OVERALL,0.008638411701397236,0.00015171096624178374,0.012317100561487014,0.6413484881503992,0.0014950511974017827,0.02880184331797235,0.054629212892115184
