date,n_nodes,cos_pos,pred_pos,overlap_cos_pred_pos,cos_neg,pred_neg,overlap_cos_pred_neg,cos_pos_to_pred_neg,cos_neg_to_pred_pos
2020-05-12,217,18283,14535,7182,7140,8901,2058,1851,1512
2020-05-13,217,18345,14276,7141,7324,9160,2278,1923,1384
2020-05-14,217,18327,13109,6760,7384,10327,2482,2295,1210
2020-05-15,217,18259,13991,6738,7594,9445,2352,2283,1445
2020-05-18,217,18001,13766,6508,7806,9670,2378,2384,1525
2020-05-19,217,17925,14421,6364,7736,9015,2140,2490,1728
2020-05-20,217,17583,14404,6428,7962,9032,2231,2255,1750
2020-05-21,217,17221,13632,5714,8268,9804,2442,2788,1692
2020-05-22,217,17455,14525,5944,7496,8911,1950,2675,1798
2020-05-25,217,18017,16967,7034,6338,6469,1268,1866,1901
2020-05-26,217,18325,14846,6531,6120,8590,1685,2523,1375
2020-05-27,217,18521,14411,6476,6154,9025,1867,2676,1210
2020-05-28,217,18651,14734,6772,6126,8702,1670,2445,1393
2020-05-29,217,19011,14495,6753,6316,8941,1757,2644,1401
2020-06-01,217,19359,14260,6525,6180,9176,1728,3046,1362
2020-06-02,217,19817,14890,6667,5664,8546,1288,3133,1544
2020-06-03,217,19887,13678,6025,5118,9758,1320,3810,1239
2020-06-04,217,19725,14774,6792,4894,8662,1231,2962,1216
2020-06-05,217,19053,14666,6871,4912,8770,1280,2547,1176
2020-06-08,217,18283,14178,6315,5028,9258,1311,2718,1203
2020-06-09,217,18321,15307,6961,5032,8129,1220,2091,1296
2020-06-10,217,18547,15373,6946,5324,8063,1294,2219,1368
2020-06-11,217,18427,13705,6426,5518,9731,1766,2679,993
2020-06-12,217,18253,13906,6712,5546,9530,1576,2306,1197
2020-06-15,217,17973,11166,5551,5450,12270,2024,3327,701
2020-06-16,217,17645,13841,6602,5586,9595,1849,2112,944
2020-06-17,217,17535,14317,6423,5656,9119,1762,2236,1066
2020-06-18,217,17523,14369,6511,5428,9067,1712,2142,1002
2020-06-19,217,17425,15692,6822,5158,7744,1486,1782,1093
2020-06-22,217,17081,14190,6263,5018,9246,1465,2169,1044
2020-06-23,217,16935,12712,5731,5084,10724,1711,2628,831
2020-06-24,217,17355,13705,6364,5068,9731,1676,2205,858
2020-06-29,217,17327,13804,6440,5398,9632,1751,2115,948
2020-06-30,217,17509,13354,6603,6066,10082,2229,2043,804
2020-07-01,217,18275,17231,7939,5688,6205,1524,1090,1320
2020-07-02,217,19971,19226,8940,4382,4210,825,937,1366
2020-07-03,217,23083,20813,10759,2976,2623,429,674,1059
2020-07-06,217,27193,21801,12992,1722,1635,241,496,620
