batch,encoder,input,horizon,mae,mse,rmse,r2,accuracy,bce
batch_1,GRU,correlation,day1,0.0093551285626143,0.0002339503962848,0.015295437106695,0.7487167568844979,0.925000011920929,0.1642427891492843
batch_1,GRU,correlation,day20,0.0133625733158291,0.0004676839610948,0.0216260019674195,0.7085087144308324,0.8980000019073486,0.2205614596605301
batch_1,GRU,correlation,day5,0.0118617044982183,0.0004353771124048,0.0208656922340211,0.7005077833026514,0.9100000262260436,0.1868541836738586
batch_1,GRU,dynamiSE,day1,0.0090185716791675,0.0002386303388763,0.0154476645120345,0.7436900881091362,0.9350000023841858,0.1527042537927627
batch_1,GRU,dynamiSE,day20,0.0131925414866384,0.000431395534907,0.0207700634305004,0.7311260391216512,0.903249979019165,0.2077244818210601
batch_1,GRU,dynamiSE,day5,0.0105421429961481,0.0003189651484438,0.0178595954165783,0.7805865842855462,0.9139999747276306,0.1791670322418213
batch_1,TE,correlation,day1,0.0145895114271304,0.0005107094642198,0.0225988819241095,0.4514532460860555,0.8149999976158142,0.4359565377235412
batch_1,TE,correlation,day20,0.0182528732146154,0.0008252553635435,0.0287272581974602,0.485646789599054,0.7820000052452087,0.4560648500919342
batch_1,TE,correlation,day5,0.0160303962955622,0.0006870151845733,0.0262109745063653,0.5274080913530925,0.8019999861717224,0.4393856227397918
batch_1,TE,dynamiSE,day1,0.0135540201686997,0.000518606656836,0.0227729369391841,0.4429709686305676,0.8299999833106995,0.4326674342155456
batch_1,TE,dynamiSE,day20,0.0175065030543121,0.0008015122505845,0.0283109916920006,0.5004450531607025,0.7875000238418579,0.4715951979160309
batch_1,TE,dynamiSE,day5,0.0152676125793885,0.000681473009357,0.026105038007195,0.5312205065985063,0.800000011920929,0.4578917920589447
batch_2,GRU,correlation,day1,0.0129947524149092,0.0005483548583658,0.0234169779938807,0.8555766805892913,0.875,0.2373573184013366
batch_2,GRU,correlation,day20,0.0176275500605838,0.0010325666167283,0.0321335746024051,0.5241120594515829,0.8995000123977661,0.2113205045461654
batch_2,GRU,correlation,day5,0.0133796211147618,0.0005646621426461,0.0237626207023997,0.6945696742261271,0.9070000052452089,0.1974498480558395
batch_2,GRU,dynamiSE,day1,0.0133222866199704,0.0010378652709359,0.0322159164224144,0.7266515555705115,0.875,0.2429742217063903
