batch,encoder,input,task,horizon,mae,mse,rmse,r2,accuracy,bce
batch_4,GRU,dynamiSE,regression,day20,0.01350744268452285,0.00041979652133760384,0.020488936559460665,0.7111101252437853,,
batch_4,GRU,dynamiSE,classification,day1,,,,,0.9350000023841858,0.15370912849903107
batch_4,GRU,dynamiSE,classification,day5,,,,,0.9129999876022339,0.20827165246009827
batch_4,GRU,dynamiSE,classification,day20,,,,,0.8927500247955322,0.23734880983829498
batch_4,TE,correlation,regression,day1,0.01631707129564166,0.0006087909485106914,0.02467368939803473,0.5198453959836492,,
batch_4,TE,correlation,regression,day5,0.01736359675618426,0.0007146051122785045,0.026732098912702396,0.4674460335493431,,
batch_4,TE,correlation,regression,day20,0.01811483793195669,0.0007082826367112445,0.026613579930389757,0.5125836642010683,,
batch_4,TE,correlation,classification,day1,,,,,0.8500000238418579,0.38369420170783997
batch_4,TE,correlation,classification,day5,,,,,0.7950000166893005,0.44916731119155884
batch_4,TE,correlation,classification,day20,,,,,0.7910000085830688,0.44460535049438477
batch_4,TE,dynamiSE,regression,day1,0.015836312120374358,0.0008054093681985568,0.028379735167872105,0.3647720663316567,,
batch_4,TE,dynamiSE,regression,day5,0.016321865982595912,0.0007508872162033236,0.02740232136522969,0.4404070745154105,,
batch_4,TE,dynamiSE,regression,day20,0.016981749401952812,0.0007096868296570409,0.026639948004022848,0.5116173457500431,,
batch_4,TE,dynamiSE,classification,day1,,,,,0.8650000095367432,0.3746141791343689
batch_4,TE,dynamiSE,classification,day5,,,,,0.8159999847412109,0.42265698313713074
batch_4,TE,dynamiSE,classification,day20,,,,,0.7960000038146973,0.4461492896080017
batch_5,GRU,correlation,regression,day1,0.009168868020003454,0.0001819125161965489,0.013487494808026763,0.8322867023010802,,
batch_5,GRU,correlation,regression,day5,0.00992340312415113,0.00026917793211682307,0.016406642926474115,0.7806569987644403,,
batch_5,GRU,correlation,regression,day20,0.012589324849083766,0.00048479330954029045,0.02201802238032041,0.6754438711346769,,
batch_5,GRU,correlation,classification,day1,,,,,0.9100000262260437,0.21107131242752075
batch_5,GRU,correlation,classification,day5,,,,,0.9129999876022339,0.18302315473556519
batch_5,GRU,correlation,classification,day20,,,,,0.909500002861023,0.2015085369348526
batch_5,GRU,dynamiSE,regression,day1,0.010253229636166062,0.0002229656649389864,0.014932034855939308,0.7944379654440772,,
batch_5,GRU,dynamiSE,regression,day5,0.011064209581659093,0.0002640010590737796,0.01624810939998188,0.7848754384461294,,
batch_5,GRU,dynamiSE,regression,day20,0.01348135778591995,0.0005256157127792553,0.02292631049207995,0.6481143661570168,,
batch_5,GRU,dynamiSE,classification,day1,,,,,0.9049999713897705,0.19511383771896362
batch_5,GRU,dynamiSE,classification,day5,,,,,0.9100000262260437,0.192228764295578
batch_5,GRU,dynamiSE,classification,day20,,,,,0.90625,0.22121378779411316
batch_5,TE,correlation,regression,day1,0.016550515581240405,0.0007085053968124036,0.026617764684743975,0.3467971362206671,,
batch_5,TE,correlation,regression,day5,0.015823256851917777,0.0006174221179748168,0.024847980158854296,0.4968858727726728,,
batch_5,TE,correlation,regression,day20,0.017277005344434736,0.0007313054941018635,0.02704266063281983,0.5104105697978543,,
batch_5,TE,correlation,classification,day1,,,,,0.75,0.5337283611297607
batch_5,TE,correlation,classification,day5,,,,,0.7609999775886536,0.49667468667030334
batch_5,TE,correlation,classification,day20,,,,,0.7705000042915344,0.48413151502609253
batch_5,TE,dynamiSE,regression,day1,0.016688370091740626,0.0007169027948419417,0.026775040519893555,0.33905519880442814,,
batch_5,TE,dynamiSE,regression,day5,0.016535848933104218,0.000631575220093693,0.025131160341171934,0.48535304067483065,,
batch_5,TE,dynamiSE,regression,day20,0.017800899875410472,0.0007467790423916821,0.02732725823041313,0.5000514438901218,,
batch_5,TE,dynamiSE,classification,day1,,,,,0.7200000286102295,0.5498352646827698
batch_5,TE,dynamiSE,classification,day5,,,,,0.7710000276565552,0.4768965542316437
batch_5,TE,dynamiSE,classification,day20,,,,,0.7852500081062317,0.4574348032474518
