Date,Stock,Open,High,Low,Close,Volume
2022-12-02,AACG,1.5800000429153442,1.649999976158142,1.5800000429153442,1.6299999952316284,2300
2022-12-02,AAL,13.81999969482422,13.979999542236328,13.670000076293944,13.970000267028809,24124300
2022-12-02,AAOI,2.1700000762939453,2.3499999046325684,2.1700000762939453,2.319999933242798,141400
2022-12-02,AAON,51.13399170984882,53.37844761434504,49.52326399805959,53.101192474365234,324750
2022-12-02,AAPL,144.2824471593233,146.2989942268281,143.97599740675216,146.11117553710938,65447400
2022-12-02,ABAT,9.0,9.0,8.444999694824219,8.550000190734863,51813
2022-12-02,ABEO,3.809999942779541,4.079999923706055,3.75,3.990000009536743,227300
2022-12-02,ABTS,0.8999999761581421,0.9800000190734864,0.8799999952316284,0.949999988079071,12900
2022-12-02,ABUS,2.299999952316284,2.509999990463257,2.259999990463257,2.4800000190734863,1012800
2022-12-02,ACB,12.899999618530272,14.300000190734863,12.800000190734863,14.0,2366970
2022-12-02,ACET,18.3700008392334,19.290000915527344,18.010000228881836,19.26000022888184,476300
2022-12-02,ACGL,56.47386430857653,57.76708691706105,56.25515807734608,57.62445068359375,2161700
2022-12-02,ACGLO,19.621686588143017,19.88330841064453,19.320821325931178,19.88330841064453,13800
2022-12-02,ACHC,86.8499984741211,88.88999938964844,86.43000030517578,87.44000244140625,636600
2022-12-02,ACHV,2.789999961853028,2.809999942779541,2.7100000381469727,2.75,34000
2022-12-02,ACIC,0.3177414536476135,0.3369984923142711,0.3177414536476135,0.3177414536476135,130900
2022-12-02,ACIU,2.5799999237060547,2.630000114440918,2.430000066757202,2.569999933242798,131700
2022-12-02,ACIW,21.290000915527344,21.920000076293945,21.209999084472656,21.700000762939453,792800
2022-12-02,ACLS,77.12000274658203,79.80000305175781,76.61000061035156,78.76000213623047,217600
2022-12-02,ACMR,8.59000015258789,8.989999771118164,8.397000312805176,8.989999771118164,439900
2022-12-02,ACNB,36.04217220119257,36.20933534898564,35.596404987958685,36.20004653930664,8200
2022-12-02,ACRS,15.720000267028809,16.709999084472656,15.720000267028809,16.639999389648438,435100
2022-12-02,ACTG,4.019999980926514,4.130000114440918,4.0,4.090000152587891,170500
2022-12-02,ADAP,2.0,2.130000114440918,1.955000042915344,2.059999942779541,596900
2022-12-02,ADBE,337.20001220703125,343.5299987792969,334.2200012207031,341.5299987792969,2741800
2022-12-02,ADI,160.63963528005058,162.16724554606293,158.75654725228446,162.01353454589844,3055200
2022-12-02,ADIL,6.25,6.5,6.25,6.5,4076
2022-12-02,ADMA,3.2300000190734863,3.4100000858306885,3.180000066757202,3.359999895095825,3353700
2022-12-02,ADP,249.19433770860024,256.5534079791016,249.19433770860024,255.62522888183597,1807000
2022-12-02,ADPT,8.399999618530273,9.010000228881836,8.229999542236328,8.960000038146973,588700
2022-12-02,ADSK,200.8999938964844,204.05999755859372,200.19000244140625,201.1100006103516,1323500
2022-12-02,ADTN,20.016760612109927,20.33804123693585,19.646801836261336,20.31857109069824,496400
2022-12-02,ADUS,109.9000015258789,112.88999938964844,109.9000015258789,112.5500030517578,63000
2022-12-02,ADVM,6.900000095367432,6.949999809265137,6.409999847412109,6.599999904632568,68250
2022-12-02,AEHL,4.800000190734863,5.300000190734863,4.800000190734863,5.300000190734863,4040
2022-12-02,AEHR,26.40999984741211,27.07999992370605,25.309999465942383,26.71999931335449,1109400
2022-12-02,AEIS,90.5154245009399,92.78599524141237,90.0097496253311,91.88371276855467,141100
2022-12-02,AEMD,4.5,4.5,4.199999809265137,4.199999809265137,6560
2022-12-02,AEP,87.14357012559522,87.26248573408931,86.439253354042,87.0063705444336,3492000
2022-12-02,AEYE,4.880000114440918,5.010000228881836,4.739999771118164,4.989999771118164,7800
2022-12-02,AFMD,20.399999618530277,20.950000762939453,19.799999237060547,20.899999618530277,219690
2022-12-02,AFYA,15.300000190734863,16.09000015258789,15.210000038146973,15.5,324400
2022-12-02,AGAE,1.0399999618530271,1.0399999618530271,0.8799999952316284,0.9700000286102296,720400
2022-12-02,AGEN,51.03042221069336,58.68498611450195,50.245338439941406,58.292442321777344,176715
2022-12-02,AGIO,29.09000015258789,31.68000030517578,28.600000381469727,31.520000457763672,460600
2022-12-02,AGNC,7.1416128173514855,7.1845910463918,6.9696978518103245,7.170265197753906,13490000
2022-12-02,AGNCM,17.213451699007578,17.42054326698416,17.18860014205641,17.312854766845703,19700
2022-12-02,AGNCN,19.497830762663117,19.74353470696116,19.497830762663117,19.592941284179688,42600
2022-12-02,AGNCO,18.066584193661907,18.21057485012131,17.970025525372996,18.14281463623047,11000
2022-12-02,AGNCP,17.412210861850404,17.603017520823702,17.266752526741172,17.395097732543945,36600
2022-12-02,AGYS,66.4000015258789,67.94999694824219,66.4000015258789,67.22000122070312,62700
2022-12-02,AHCO,22.26000022888184,22.88999938964844,22.21999931335449,22.86000061035156,503000
2022-12-02,AHG,0.4699999988079071,0.4699999988079071,0.4230000078678131,0.4699999988079071,5800
2022-12-02,AIFU,5.090000152587891,6.480000019073486,4.960000038146973,6.400000095367432,74200
2022-12-02,AIHS,0.8799999952316284,0.949999988079071,0.8799999952316284,0.9100000262260436,4800
2022-12-02,AIOT,2.680000066757202,2.799999952316284,2.450000047683716,2.5,131600
2022-12-02,AIRG,8.029999732971191,8.052000045776367,7.860000133514404,7.889999866485596,11000
2022-12-02,AKAM,93.86000061035156,94.0500030517578,93.44000244140624,93.79000091552734,856100
2022-12-02,AKBA,0.296999990940094,0.3000000119209289,0.2790000140666961,0.2899999916553497,1852800
