epoch,snapshot_date,stage,h_min,h_max,h_mean,h_std
0,2020-05-08,feature_encoded,-2.9357900619506836,2.29937481880188,7.1525572131747595e-09,1.0000288486480713
0,2020-05-08,after_ODE,-2.6464908123016357,2.7740375995635986,-0.023481937125325203,0.9564477205276489
0,2020-05-08,post_ODE,-2.6464908123016357,2.7740375995635986,-0.023481937125325203,0.9564477205276489
0,2020-05-08,post_loss,-2.6464908123016357,2.7740375995635986,-0.023481937125325203,0.9564477205276489
0,2020-05-11,feature_encoded,-2.8797478675842285,2.2327287197113037,-9.019375283969566e-06,0.9997538328170776
0,2020-05-11,after_ODE,-2.9246435165405273,2.7624545097351074,-0.024556489661335945,0.9600306749343872
0,2020-05-11,post_ODE,-2.9246435165405273,2.7624545097351074,-0.024556489661335945,0.9600306749343872
0,2020-05-11,post_loss,-2.9246435165405273,2.7624545097351074,-0.024556489661335945,0.9600306749343872
0,2020-05-12,feature_encoded,-2.8120696544647217,2.389530658721924,-3.937959627364762e-05,0.999478280544281
0,2020-05-12,after_ODE,-3.1294798851013184,2.965097665786743,-0.03775206580758095,0.9577536582946777
0,2020-05-12,post_ODE,-3.1294798851013184,2.965097665786743,-0.03775206580758095,0.9577536582946777
0,2020-05-12,post_loss,-3.1294798851013184,2.965097665786743,-0.03775206580758095,0.9577536582946777
0,2020-05-13,feature_encoded,-2.7686941623687744,2.390333890914917,-0.00010442048369441181,0.9994487166404724
0,2020-05-13,after_ODE,-3.0188398361206055,2.5798559188842773,-0.03485169634222984,0.9484020471572876
0,2020-05-13,post_ODE,-3.0188398361206055,2.5798559188842773,-0.03485169634222984,0.9484020471572876
0,2020-05-13,post_loss,-3.0188398361206055,2.5798559188842773,-0.03485169634222984,0.9484020471572876
0,2020-05-14,feature_encoded,-2.793884038925171,2.3591108322143555,-0.00016315162065438926,0.999732494354248
0,2020-05-14,after_ODE,-2.8750476837158203,2.4545722007751465,-0.0037326347082853317,0.9476683735847473
0,2020-05-14,post_ODE,-2.8750476837158203,2.4545722007751465,-0.0037326347082853317,0.9476683735847473
0,2020-05-14,post_loss,-2.8750476837158203,2.4545722007751465,-0.0037326347082853317,0.9476683735847473
0,2020-05-15,feature_encoded,-2.92669415473938,2.3461356163024902,-0.00028700113762170076,0.9996781349182129
0,2020-05-15,after_ODE,-3.3544678688049316,3.0458967685699463,0.004558058921247721,0.9540708661079407
0,2020-05-15,post_ODE,-3.3544678688049316,3.0458967685699463,0.004558058921247721,0.9540708661079407
0,2020-05-15,post_loss,-3.3544678688049316,3.0458967685699463,0.004558058921247721,0.9540708661079407
0,2020-05-18,feature_encoded,-2.9563026428222656,2.443066358566284,-0.0004228901816532016,0.9994764924049377
0,2020-05-18,after_ODE,-3.276662588119507,3.1020755767822266,-0.014320752583444118,0.980853796005249
0,2020-05-18,post_ODE,-3.276662588119507,3.1020755767822266,-0.014320752583444118,0.980853796005249
0,2020-05-18,post_loss,-3.276662588119507,3.1020755767822266,-0.014320752583444118,0.980853796005249
0,2020-05-19,feature_encoded,-2.9431533813476562,2.345419406890869,-0.0006175732705742121,0.9992314577102661
0,2020-05-19,after_ODE,-3.195631265640259,2.7895917892456055,-0.027788793668150902,0.9788848161697388
0,2020-05-19,post_ODE,-3.195631265640259,2.7895917892456055,-0.027788793668150902,0.9788848161697388
0,2020-05-19,post_loss,-3.195631265640259,2.7895917892456055,-0.027788793668150902,0.9788848161697388
0,2020-05-20,feature_encoded,-2.927638530731201,2.583340883255005,-0.000592486874666065,0.9991185069084167
0,2020-05-20,after_ODE,-3.2292943000793457,2.6734280586242676,-0.020248061046004295,0.9860153794288635
0,2020-05-20,post_ODE,-3.2292943000793457,2.6734280586242676,-0.020248061046004295,0.9860153794288635
0,2020-05-20,post_loss,-3.2292943000793457,2.6734280586242676,-0.020248061046004295,0.9860153794288635
0,2020-05-21,feature_encoded,-2.898519277572632,2.287966728210449,-0.0006556939915753901,0.9989483952522278
0,2020-05-21,after_ODE,-2.972496509552002,2.654270887374878,-0.019704416394233704,0.9854395389556885
0,2020-05-21,post_ODE,-2.972496509552002,2.654270887374878,-0.019704416394233704,0.9854395389556885
0,2020-05-21,post_loss,-2.972496509552002,2.654270887374878,-0.019704416394233704,0.9854395389556885
0,2020-05-22,feature_encoded,-2.95284104347229,2.2559468746185303,-0.0006512344116345048,0.9989625215530396
0,2020-05-22,after_ODE,-3.133228302001953,2.781461000442505,-0.012537927366793156,0.9869542717933655
0,2020-05-22,post_ODE,-3.133228302001953,2.781461000442505,-0.012537927366793156,0.9869542717933655
0,2020-05-22,post_loss,-3.133228302001953,2.781461000442505,-0.012537927366793156,0.9869542717933655
0,2020-05-26,feature_encoded,-2.9414632320404053,2.484450578689575,-0.0005407548160292208,0.9982731938362122
0,2020-05-26,after_ODE,-2.857069253921509,2.866628646850586,-0.024370182305574417,0.9980640411376953
0,2020-05-26,post_ODE,-2.857069253921509,2.866628646850586,-0.024370182305574417,0.9980640411376953
0,2020-05-26,post_loss,-2.857069253921509,2.866628646850586,-0.024370182305574417,0.9980640411376953
0,2020-05-27,feature_encoded,-2.7878942489624023,2.365652084350586,-0.0005738568142987788,0.9978771805763245
0,2020-05-27,after_ODE,-2.958817958831787,2.854017734527588,-0.02367517538368702,1.0025112628936768
0,2020-05-27,post_ODE,-2.958817958831787,2.854017734527588,-0.02367517538368702,1.0025112628936768
0,2020-05-27,post_loss,-2.958817958831787,2.854017734527588,-0.02367517538368702,1.0025112628936768
