date,n_nodes,cos_pos,pred_pos,overlap_cos_pred_pos,cos_neg,pred_neg,overlap_cos_pred_neg,cos_pos_to_pred_neg,cos_neg_to_pred_pos
2020-05-07,200,25360,8766,6580,1252,11134,492,6000,134
2020-05-08,200,24888,10396,7391,1238,9504,434,4953,185
2020-05-11,200,24182,9491,6549,1222,10409,418,5442,193
2020-05-12,200,22620,11268,7209,1278,8632,467,4001,172
2020-05-13,200,21574,6190,4295,1396,13710,614,6392,84
2020-05-14,200,21062,6821,4169,1550,13079,621,6262,154
2020-05-15,200,20324,6142,4013,1816,13758,789,6049,119
2020-05-18,200,20094,8250,4759,1776,11650,688,5188,200
2020-05-19,200,20308,10780,6382,1742,9120,669,3672,202
2020-05-20,200,20616,9897,6025,1778,10003,680,4183,209
2020-05-21,200,20626,12240,7069,1792,7660,547,3144,349
2020-05-22,200,20428,13215,7367,1828,6685,420,2747,494
2020-05-26,200,20346,11777,6882,1930,8123,706,3191,259
2020-05-27,200,19796,9435,5485,2060,10465,914,4313,116
2020-05-28,200,18814,13012,7016,2350,6888,773,2291,402
2020-05-29,200,18158,7055,3938,2626,12845,1123,5041,190
2020-06-01,200,18460,10233,5326,2522,9667,912,3804,349
2020-06-02,200,19018,11426,5950,2470,8474,703,3459,532
2020-06-03,200,19714,12211,6619,2394,7689,781,3138,416
2020-06-04,200,20208,11038,6545,2296,8862,880,3459,268
2020-06-05,200,20820,11679,7370,2232,8221,891,2940,225
2020-06-08,200,21136,12890,8085,2334,7010,842,2383,325
2020-06-09,200,21210,13374,8342,2456,6526,895,2163,333
2020-06-10,200,21392,12297,7839,2586,7603,1079,2757,214
2020-06-11,200,21984,3686,2154,2376,16214,1098,8738,90
2020-06-12,200,22488,4975,2886,2190,14925,892,8258,203
2020-06-15,200,22884,5386,2949,2054,14514,792,8393,235
2020-06-16,200,22916,8390,5128,2158,11510,740,6230,339
2020-06-17,200,22774,10345,6481,2392,9555,862,4806,334
2020-06-18,200,22392,9108,5554,2678,10792,932,5542,407
2020-06-19,200,22090,4011,2072,2804,15889,1250,8873,152
2020-06-22,200,21916,7900,4861,2918,12000,1087,5997,372
2020-06-23,200,21636,8302,4630,3090,11598,1043,6088,502
2020-06-24,200,21256,5707,3517,3240,14193,1432,7011,188
2020-06-25,200,20924,8231,5216,3454,11669,1336,5146,391
2020-06-26,200,20444,3830,2014,3650,16070,1638,8108,187
2020-06-29,200,20024,7878,4871,3924,12022,1626,5041,336
2020-06-30,200,19442,5715,3161,4094,14185,1680,6460,367
2020-07-01,200,18740,6192,3024,4154,13708,1565,6246,512
2020-07-02,200,18032,8030,3381,4034,11870,1227,5535,790
2020-07-06,200,16696,7445,3135,3976,12455,1425,5113,563
2020-07-07,200,14672,8182,3750,4526,11718,1841,3486,422
2020-07-08,200,13024,8245,3956,5654,11655,2363,2456,464
2020-07-09,200,11942,8451,3796,7148,11449,2929,2075,645
2020-07-10,200,12084,9552,4305,7558,10348,3064,1637,715
2020-07-13,200,12040,8092,3333,7464,11808,3056,2587,676
2020-07-14,200,11806,7770,3000,7320,12130,2863,2803,797
2020-07-15,200,11652,8246,2952,7148,11654,2634,2774,940
2020-07-16,200,11730,10614,3759,7068,9286,2183,2006,1351
2020-07-17,200,11908,10479,3805,6952,9421,2303,2049,1173
2020-07-20,200,12144,11089,4085,6960,8811,2387,1887,1093
2020-07-21,200,12652,11180,4298,6600,8720,2220,1928,1080
2020-07-22,200,12856,10451,3936,6682,9449,2172,2392,1169
2020-07-23,200,12998,9362,3831,6414,10538,2392,2568,815
2020-07-24,200,12890,8862,3728,6346,11038,2311,2617,862
2020-07-27,200,12688,7655,3161,6542,12245,2539,3083,732
2020-07-28,200,12530,8549,3480,6760,11351,2503,2685,877
2020-07-29,200,12544,6568,2601,6654,13332,2761,3571,566
2020-07-30,200,12270,6914,2688,6484,12986,2676,3347,566
2020-07-31,200,11728,6414,2588,6268,13486,2685,3176,449
2020-08-03,200,11500,7402,2950,6230,12498,2585,2700,530
2020-08-04,200,11350,8669,3243,6010,11231,2286,2332,719
2020-08-05,200,11466,9461,3704,5656,10439,2176,1929,652
2020-08-06,200,11624,10056,3973,5572,9844,2003,1739,783
2020-08-07,200,11848,8159,3597,5496,11741,2227,2227,521
2020-08-10,200,12126,9235,3943,5468,10665,2249,2020,485
2020-08-11,200,12242,9152,3853,5766,10748,2352,2168,531
2020-08-12,200,12300,9453,4068,6102,10447,2516,1982,535
2020-08-13,200,12368,10263,4349,6298,9637,2541,1735,608
2020-08-14,200,12262,11154,4551,6598,8746,2423,1480,876
2020-08-17,200,12306,9332,3989,7022,10568,2775,2064,736
2020-08-18,200,12088,8843,3629,7348,11057,2920,2315,754
2020-08-19,200,11968,7613,3052,7646,12287,3177,2832,646
2020-08-20,200,11830,6778,2427,7992,13122,3182,3388,814
2020-08-21,200,11760,5778,1914,8056,14122,3323,3866,705
2020-08-24,200,11930,5795,1921,8138,14105,3454,3944,615
2020-08-25,200,11918,7332,2765,8200,12568,3341,3094,759
2020-08-26,200,11942,7516,2853,8110,12384,3233,3018,822
2020-08-27,200,11980,6282,2358,8090,13618,3390,3532,655
2020-08-28,200,12220,7848,3114,8264,12052,3141,2896,991
2020-08-31,200,12240,5947,2618,8358,13953,3580,3402,599
2020-09-01,200,12238,6056,2559,8640,13844,3698,3460,622
2020-09-02,200,12246,6833,2935,8996,13067,3705,3088,793
2020-09-03,200,12164,6100,2701,8966,13800,3815,3281,668
2020-09-04,200,12154,7127,2645,8128,12773,3262,3332,802
2020-09-08,200,12394,8576,3193,6962,11324,2626,2904,855
2020-09-09,200,12480,8244,3372,6336,11656,2535,2768,633
2020-09-10,200,12730,6980,3261,6008,12920,2585,3004,419
2020-09-11,200,13386,10380,4413,5836,9520,2224,2180,694
2020-09-14,200,13538,9185,4258,5864,10715,2426,2411,506
2020-09-15,200,13380,7820,3467,6066,12080,2510,3123,523
2020-09-16,200,13220,6207,2720,6380,13693,2757,3790,433
2020-09-17,200,13188,7717,3491,6472,12183,2717,3003,519
2020-09-18,200,13174,2575,963,6530,17325,3050,5524,215
2020-09-21,200,13360,8082,3843,6132,11818,2590,2737,476
2020-09-22,200,13600,9410,4187,5936,10490,2267,2513,701
2020-09-23,200,13756,7495,3251,5712,12405,2362,3527,494
2020-09-24,200,14382,10831,4805,5252,9069,1834,2286,792
2020-09-25,200,14888,11358,5107,5098,8542,1681,2237,868
2020-09-28,200,15004,7706,3410,4994,12194,1924,3992,573
2020-09-29,200,15044,8147,3564,4926,11753,1770,3858,693
2020-09-30,200,15176,5173,2076,4896,14727,1964,5412,484
2020-10-01,200,15490,6405,2736,5080,13495,1980,4909,560
2020-10-02,200,15606,6170,2691,5100,13730,1999,5012,551
2020-10-05,200,15882,10158,4176,4724,9742,1414,3665,948
2020-10-06,200,15822,12244,5022,4496,7656,1304,2789,944
2020-10-07,200,16154,11654,5083,4106,8246,1314,2894,739
2020-10-08,200,17140,15316,6965,3670,4584,823,1505,1012
2020-10-09,200,17928,16905,8240,3464,2995,756,624,976
2020-10-12,200,18992,16270,8456,3164,3630,829,940,753
2020-10-13,200,19970,15356,8522,2742,4544,795,1363,576
