epoch,loss
1,0.32303073569209806
2,0.1320300266191666
3,0.09223532208385248
4,0.06925890062129168
5,0.04942323343643686
6,0.03779736406668115
7,0.03073946479984636
8,0.026162649113875704
9,0.022806842748461308
10,0.01982028565122877
11,0.017046164635329507
12,0.014397119358702228
13,0.011216009749924436
14,0.008516786507550694
15,0.006171709827941303
16,0.0038581217795640938
17,0.001808293695921038
18,-0.00026676876022669726
19,-0.0023179208369164942
20,-0.004438549795513478
21,-0.0066215337471883465
22,-0.008827220807417907
23,-0.011093961340083633
24,-0.013312218531563325
25,NaN detected
