epoch,loss
1,25658.422571419113
2,5434.482427609512
3,5523.342777526456
4,5363.032988404916
5,5115.707077175964
6,4894.26614409802
7,4817.288056766286
8,4523.580237843632
9,4429.435342227712
10,4235.741579591839
