code,dt
MCO,2023-06-06
MDLZ,2023-06-06
MDT,2023-06-06
MET,2023-06-06
META,2023-06-06
MGM,2023-06-06
MHK,2023-06-06
MKC,2023-06-06
MKTX,2023-06-06
MLM,2023-06-06
MMC,2023-06-06
MMM,2023-06-06
MNST,2023-06-06
MO,2023-06-06
MOH,2023-06-06
MOS,2023-06-06
MPC,2023-06-06
MPWR,2023-06-06
MRK,2023-06-06
MRNA,2023-06-06
MS,2023-06-06
MSCI,2023-06-06
MSFT,2023-06-06
MSI,2023-06-06
MTB,2023-06-06
MTCH,2023-06-06
MTD,2023-06-06
MU,2023-06-06
NCLH,2023-06-06
NDAQ,2023-06-06
NDSN,2023-06-06
NEE,2023-06-06
NEM,2023-06-06
NFLX,2023-06-06
NI,2023-06-06
NKE,2023-06-06
NOC,2023-06-06
NOW,2023-06-06
NRG,2023-06-06
NSC,2023-06-06
NTAP,2023-06-06
NTRS,2023-06-06
NUE,2023-06-06
NVDA,2023-06-06
NVR,2023-06-06
NWS,2023-06-06
NWSA,2023-06-06
NXPI,2023-06-06
O,2023-06-06
ODFL,2023-06-06
OKE,2023-06-06
OMC,2023-06-06
ON,2023-06-06
ORCL,2023-06-06
ORLY,2023-06-06
OXY,2023-06-06
PANW,2023-06-06
PARA,2023-06-06
PAYC,2023-06-06
PAYX,2023-06-06
PCAR,2023-06-06
PCG,2023-06-06
PEG,2023-06-06
PEP,2023-06-06
PFE,2023-06-06
PFG,2023-06-06
PG,2023-06-06
PGR,2023-06-06
PH,2023-06-06
PHM,2023-06-06
PKG,2023-06-06
PLD,2023-06-06
PM,2023-06-06
PNC,2023-06-06
PNR,2023-06-06
PNW,2023-06-06
PODD,2023-06-06
POOL,2023-06-06
PPG,2023-06-06
PPL,2023-06-06
PRU,2023-06-06
PSA,2023-06-06
PSX,2023-06-06
PTC,2023-06-06
PWR,2023-06-06
PYPL,2023-06-06
QCOM,2023-06-06
RCL,2023-06-06
REG,2023-06-06
REGN,2023-06-06
RF,2023-06-06
RJF,2023-06-06
RL,2023-06-06
RMD,2023-06-06
ROK,2023-06-06
ROL,2023-06-06
ROP,2023-06-06
ROST,2023-06-06
RSG,2023-06-06
RTX,2023-06-06
RVTY,2023-06-06
SBAC,2023-06-06
SBUX,2023-06-06
SCHW,2023-06-06
SHW,2023-06-06
SJM,2023-06-06
SLB,2023-06-06
SMCI,2023-06-06
SNA,2023-06-06
SNPS,2023-06-06
SO,2023-06-06
SPG,2023-06-06
