input,horizon,mae,mse,rmse,r2,accuracy,precission,recall,F1,MCC,bce,WS-dist
DSE,day1,0.0042684068495505,4.017366090094362e-05,0.006338269550985,0.7485895445703434,0.8765432238578796,0.8592233009708737,0.8509615384615384,0.855072463768116,0.7475764225033072,0.2476858496665954,0.0014949831533439
DSE,day20,0.0046303754517117,4.991124592292922e-05,0.0070647891633741,0.8177143590024891,0.9170781970024108,0.934865045728307,0.8907545164718385,0.9122768828907272,0.8346205949032471,0.1870866417884826,0.0012761221557296
DSE,day5,0.0045170719071122,4.320513596680486e-05,0.0065730613846825,0.771355517818203,0.8946502208709717,0.9193061840120664,0.8910818713450293,0.9049740163325908,0.7873298066235221,0.2250881642103195,0.0018300106083444
corr,day1,0.0056142283203672,6.814463637812467e-05,0.0082549764613913,0.5735446139908487,0.8991769552230835,0.8803827751196173,0.8846153846153846,0.882494004796163,0.7942136102591416,0.2375790476799011,0.0023022628775992
corr,day20,0.0065530614227718,9.220131752250776e-05,0.0096021517131582,0.6632627385948657,0.9202674627304076,0.9305433829973708,0.9026567481402764,0.9163879598662208,0.8405798412624322,0.1847409456968307,0.0016023687852647
corr,day5,0.0061933815805347,7.685653844040604e-05,0.0087667860952806,0.5932700351297708,0.903292179107666,0.9275471698113208,0.8983918128654971,0.9127367248421836,0.8048697744835853,0.2160346210002899,0.0033820433036099
random1,day1,0.0045628705208143,4.402579245221574e-05,0.0066351934751155,0.7244825519298614,0.8930041193962097,0.8513513513513513,0.908653846153846,0.8790697674418605,0.7846474434782492,0.2299215942621231,0.00238054288529
random1,day20,0.005006246279404,5.638141046714802e-05,0.0075087555871228,0.7940840514536954,0.9196501970291138,0.9120117597648048,0.9230605738575984,0.9175029048272948,0.839254795767184,0.1790508180856704,0.0013760526798226
random1,day5,0.0047073781974378,4.552382524090435e-05,0.0067471345948413,0.7590848584034453,0.8983539342880249,0.9058653149891384,0.9144736842105264,0.9101491451436886,0.7931960188341345,0.2092284858226776,0.0014751399317179
random2,day1,0.0044991139033563,4.458909358470925e-05,0.0066775065394733,0.7209573617657529,0.8827160596847534,0.8578199052132701,0.8701923076923077,0.863961813842482,0.7609572174780779,0.2192302644252777,0.0011024906145748
random2,day20,0.0051663093300521,6.179066431869561e-05,0.0078607038055568,0.7743283974439721,0.9169753193855286,0.9075700543705564,0.922422954303932,0.9149362285232424,0.8339703647984843,0.1766064018011093,0.0019069859019705
random2,day5,0.0050096875692122,5.176233876509817e-05,0.0071946048373137,0.726070225712106,0.8962963223457336,0.9008620689655172,0.9166666666666666,0.908695652173913,0.7888763750051074,0.2092292010784149,0.0021487679177676
random3,day1,0.0046354538684022,4.435237224689065e-05,0.0066597576717843,0.7224387856145188,0.8765432238578796,0.827433628318584,0.8990384615384616,0.8617511520737328,0.7526832854188216,0.249834343791008,0.001069415678882
random3,day20,0.0047714924902513,5.452011888736047e-05,0.0073837740273765,0.80088185267927,0.9174897074699402,0.8991613826958478,0.9343251859723698,0.9164060871377944,0.8356096848973454,0.1810019165277481,0.001856291350095
random3,day5,0.0045352822992155,4.605996109273436e-05,0.0067867489339693,0.7562475914564102,0.8991769552230835,0.8929321203638908,0.932748538011696,0.9124061494458348,0.7948284246571438,0.2124549150466919,0.0019345251173855
