input,task,horizon,mae,mse,rmse,r2,accuracy,precission,recall,F1,MCC,bce,WS-dist
corr,regression,day1,0.005614228320367283,6.814463637812467e-05,0.008254976461391315,0.5735446139908487,,,,,,,0.0023022628775992743
corr,regression,day5,0.006193381580534754,7.685653844040604e-05,0.008766786095280645,0.5932700351297708,,,,,,,0.0033820433036099574
corr,regression,day20,0.006553061422771899,9.220131752250775e-05,0.009602151713158242,0.6632627385948657,,,,,,,0.0016023687852647964
corr,classification,day1,,,,,0.8991769552230835,0.8803827751196173,0.8846153846153846,0.882494004796163,0.7942136102591416,0.23757904767990112,
corr,classification,day5,,,,,0.903292179107666,0.9275471698113208,0.8983918128654971,0.9127367248421835,0.8048697744835853,0.21603462100028992,
corr,classification,day20,,,,,0.9202674627304077,0.9305433829973707,0.9026567481402763,0.9163879598662207,0.8405798412624322,0.18474094569683075,
DSE,regression,day1,0.004268406849550572,4.017366090094362e-05,0.006338269550985002,0.7485895445703434,,,,,,,0.0014949831533439786
DSE,regression,day5,0.004517071907112294,4.320513596680486e-05,0.006573061384682549,0.771355517818203,,,,,,,0.001830010608344453
DSE,regression,day20,0.004630375451711796,4.991124592292922e-05,0.007064789163374178,0.8177143590024891,,,,,,,0.0012761221557296924
DSE,classification,day1,,,,,0.8765432238578796,0.8592233009708737,0.8509615384615384,0.855072463768116,0.7475764225033072,0.24768584966659546,
DSE,classification,day5,,,,,0.8946502208709717,0.9193061840120663,0.8910818713450293,0.9049740163325909,0.7873298066235221,0.22508816421031952,
DSE,classification,day20,,,,,0.9170781970024109,0.934865045728307,0.8907545164718385,0.9122768828907271,0.8346205949032471,0.18708664178848267,
random1,regression,day1,0.004562870520814387,4.402579245221574e-05,0.006635193475115533,0.7244825519298614,,,,,,,0.002380542885290005
random1,regression,day5,0.004707378197437822,4.552382524090435e-05,0.006747134594841306,0.7590848584034453,,,,,,,0.0014751399317179759
random1,regression,day20,0.005006246279404098,5.6381410467148024e-05,0.00750875558712281,0.7940840514536954,,,,,,,0.001376052679822696
random1,classification,day1,,,,,0.8930041193962097,0.8513513513513513,0.9086538461538461,0.8790697674418605,0.7846474434782492,0.2299215942621231,
random1,classification,day5,,,,,0.8983539342880249,0.9058653149891384,0.9144736842105263,0.9101491451436886,0.7931960188341345,0.2092284858226776,
random1,classification,day20,,,,,0.9196501970291138,0.9120117597648048,0.9230605738575983,0.9175029048272948,0.839254795767184,0.17905081808567047,
random2,regression,day1,0.00449911390335636,4.458909358470925e-05,0.0066775065394733425,0.7209573617657529,,,,,,,0.0011024906145748461
random2,regression,day5,0.005009687569212284,5.176233876509817e-05,0.007194604837313733,0.726070225712106,,,,,,,0.002148767917767608
random2,regression,day20,0.005166309330052178,6.179066431869561e-05,0.007860703805556828,0.7743283974439721,,,,,,,0.001906985901970511
random2,classification,day1,,,,,0.8827160596847534,0.8578199052132701,0.8701923076923077,0.863961813842482,0.7609572174780779,0.2192302644252777,
random2,classification,day5,,,,,0.8962963223457336,0.9008620689655172,0.9166666666666666,0.908695652173913,0.7888763750051074,0.20922920107841492,
random2,classification,day20,,,,,0.9169753193855286,0.9075700543705563,0.922422954303932,0.9149362285232423,0.8339703647984843,0.17660640180110931,
random3,regression,day1,0.004635453868402294,4.435237224689065e-05,0.006659757671784361,0.7224387856145188,,,,,,,0.0010694156788820244
random3,regression,day5,0.004535282299215586,4.6059961092734356e-05,0.006786748933969368,0.7562475914564102,,,,,,,0.0019345251173855476
random3,regression,day20,0.004771492490251359,5.4520118887360466e-05,0.007383774027376546,0.80088185267927,,,,,,,0.001856291350095005
random3,classification,day1,,,,,0.8765432238578796,0.827433628318584,0.8990384615384616,0.8617511520737328,0.7526832854188216,0.249834343791008,
random3,classification,day5,,,,,0.8991769552230835,0.8929321203638908,0.9327485380116959,0.9124061494458349,0.7948284246571438,0.2124549150466919,
random3,classification,day20,,,,,0.9174897074699402,0.8991613826958478,0.9343251859723698,0.9164060871377945,0.8356096848973454,0.1810019165277481,
