date,nodes,pos_edges,neg_edges
2020-05-07,200,6520,1908
2020-05-08,200,15458,2408
2020-05-11,200,21826,2830
2020-05-12,200,22294,3108
2020-05-13,200,22588,3514
2020-05-14,200,21140,2288
2020-05-15,200,18424,2734
2020-05-18,200,16910,2926
2020-05-19,200,17664,2972
2020-05-20,200,18446,3068
2020-05-21,200,17828,3072
2020-05-22,200,16962,2908
2020-05-26,200,16648,2998
2020-05-27,200,16850,3260
2020-05-28,200,16954,3652
2020-05-29,200,16192,4008
2020-06-01,200,15616,3858
2020-06-02,200,15564,3696
2020-06-03,200,16404,3778
2020-06-04,200,17370,3702
2020-06-05,200,18154,3622
2020-06-08,200,18440,3712
2020-06-09,200,18348,3972
2020-06-10,200,18846,4178
2020-06-11,200,19434,4118
2020-06-12,200,20080,4102
2020-06-15,200,20212,4174
2020-06-16,200,20158,4220
2020-06-17,200,20450,4216
2020-06-18,200,20650,4508
2020-06-19,200,20484,4538
2020-06-22,200,20114,4672
2020-06-23,200,19750,4778
2020-06-24,200,19684,4714
2020-06-25,200,19450,4690
2020-06-26,200,18854,4576
2020-06-29,200,17980,4572
2020-06-30,200,17206,4576
2020-07-01,200,16716,4842
2020-07-02,200,16276,4860
2020-07-06,200,15564,4984
2020-07-07,200,14480,5532
2020-07-08,200,13564,6324
2020-07-09,200,12898,7564
2020-07-10,200,12368,8002
2020-07-13,200,11484,8384
2020-07-14,200,11090,8588
2020-07-15,200,11134,8818
2020-07-16,200,11218,8718
2020-07-17,200,11178,8648
2020-07-20,200,11086,8594
2020-07-21,200,11142,8124
2020-07-22,200,11270,7896
2020-07-23,200,11462,7518
2020-07-24,200,11496,7460
2020-07-27,200,11430,7526
2020-07-28,200,11188,7646
2020-07-29,200,10872,7394
2020-07-30,200,10578,7144
2020-07-31,200,10444,7090
2020-08-03,200,10038,7100
2020-08-04,200,9732,6938
2020-08-05,200,9766,6590
2020-08-06,200,10124,6284
2020-08-07,200,10414,6108
2020-08-10,200,10472,6090
2020-08-11,200,10644,6204
2020-08-12,200,10608,6420
2020-08-13,200,10364,6288
2020-08-14,200,10206,6332
2020-08-17,200,9966,6562
2020-08-18,200,9750,7050
2020-08-19,200,9476,7438
2020-08-20,200,9338,7738
2020-08-21,200,9354,7872
2020-08-24,200,9340,7916
2020-08-25,200,9522,7976
2020-08-26,200,9746,8008
2020-08-27,200,9960,8108
2020-08-28,200,10076,8304
2020-08-31,200,10122,8366
2020-09-01,200,10184,8526
2020-09-02,200,10284,9076
2020-09-03,200,10176,9352
2020-09-04,200,10150,9338
2020-09-08,200,10400,9240
2020-09-09,200,10812,9326
2020-09-10,200,11114,9046
2020-09-11,200,11282,8796
2020-09-14,200,11390,8722
2020-09-15,200,11234,8694
2020-09-16,200,10998,8488
2020-09-17,200,10788,8310
2020-09-18,200,10868,8310
2020-09-21,200,10944,8292
2020-09-22,200,10904,8130
2020-09-23,200,10756,7716
2020-09-24,200,10996,7170
2020-09-25,200,11220,6762
2020-09-28,200,11342,6456
2020-09-29,200,11342,6244
2020-09-30,200,11526,6098
2020-10-01,200,11786,6414
2020-10-02,200,11872,6478
2020-10-05,200,12014,6430
2020-10-06,200,12080,6536
2020-10-07,200,12204,6366
2020-10-08,200,12472,6028
2020-10-09,200,12734,5756
2020-10-12,200,13438,5514
2020-10-13,200,14292,5010
2020-10-14,200,15038,4698
2020-10-15,200,15374,4308
2020-10-16,200,16024,4316
2020-10-19,200,16426,4310
2020-10-20,200,16672,4334
2020-10-21,200,16626,4300
2020-10-22,200,16402,4578
2020-10-23,200,16008,4748
2020-10-26,200,15664,4768
2020-10-27,200,15404,4766
2020-10-28,200,15770,4588
2020-10-29,200,16458,4224
2020-10-30,200,17178,3738
2020-11-02,200,17598,3538
2020-11-03,200,17700,3378
2020-11-04,200,17566,3382
2020-11-05,200,17112,3208
2020-11-06,200,16518,3214
2020-11-09,200,16496,3276
2020-11-10,200,16170,3422
2020-11-11,200,15618,3624
2020-11-12,200,15074,3618
2020-11-13,200,14794,3712
2020-11-16,200,14984,3898
2020-11-17,200,15150,3934
2020-11-18,200,15446,3890
2020-11-19,200,15648,3858
2020-11-20,200,15814,3786
2020-11-23,200,15880,3678
2020-11-24,200,16066,3594
2020-11-25,200,16144,3630
2020-11-27,200,16330,3718
2020-11-30,200,16480,3954
2020-12-01,200,16696,4152
2020-12-02,200,17092,4368
2020-12-03,200,17246,4396
2020-12-04,200,17490,4446
2020-12-07,200,17898,4418
2020-12-08,200,18572,4552
2020-12-09,200,19644,4302
2020-12-10,200,20374,4374
2020-12-11,200,20668,4416
2020-12-14,200,20880,4442
2020-12-15,200,21386,4456
2020-12-16,200,21390,4454
2020-12-17,200,21336,4278
2020-12-18,200,21136,4026
2020-12-21,200,20914,3878
2020-12-22,200,20042,3850
2020-12-23,200,19270,3962
2020-12-24,200,18566,4100
2020-12-28,200,17958,4362
2020-12-29,200,17350,4654
2020-12-30,200,16454,4876
2020-12-31,200,15546,5120
2021-01-04,200,14698,5412
2021-01-05,200,13922,5800
2021-01-06,200,13078,6110
2021-01-07,200,12512,6102
2021-01-08,200,12216,6092
2021-01-11,200,11928,6038
2021-01-12,200,11974,5998
2021-01-13,200,12062,5844
2021-01-14,200,12164,5760
2021-01-15,200,12048,5878
2021-01-19,200,11960,6038
2021-01-20,200,11804,6212
2021-01-21,200,11844,6192
2021-01-22,200,11800,6358
2021-01-25,200,11988,6512
2021-01-26,200,12166,6590
2021-01-27,200,12324,6710
2021-01-28,200,12508,6728
2021-01-29,200,12418,6676
2021-02-01,200,12466,6610
2021-02-02,200,12528,6444
2021-02-03,200,12750,6326
2021-02-04,200,13058,6212
2021-02-05,200,13324,5976
2021-02-08,200,13414,5770
2021-02-09,200,13540,5472
2021-02-10,200,13760,5232
2021-02-11,200,13798,5012
2021-02-12,200,13716,5002
2021-02-16,200,13864,4884
2021-02-17,200,14038,4952
2021-02-18,200,13850,4948
2021-02-19,200,13706,5116
2021-02-22,200,13526,5172
2021-02-23,200,13550,5198
2021-02-24,200,13620,5278
2021-02-25,200,14186,5324
2021-02-26,200,14714,5286
2021-03-01,200,15012,5220
2021-03-02,200,15352,5350
2021-03-03,200,15590,5498
2021-03-04,200,15956,5604
2021-03-05,200,16316,5882
2021-03-08,200,16344,6096
2021-03-09,200,16072,6524
2021-03-10,200,15862,7074
2021-03-11,200,15522,7574
2021-03-12,200,15020,8010
2021-03-15,200,14604,8320
2021-03-16,200,14458,8580
2021-03-17,200,14320,8750
2021-03-18,200,14208,8774
2021-03-19,200,14138,8992
2021-03-22,200,14162,9090
2021-03-23,200,13984,9066
2021-03-24,200,13914,8782
2021-03-25,200,14002,8376
2021-03-26,200,13810,7836
2021-03-29,200,13728,7504
2021-03-30,200,13710,7064
2021-03-31,200,13708,6698
2021-04-01,200,13350,6666
2021-04-05,200,13248,6824
2021-04-06,200,13542,7006
2021-04-07,200,13396,6878
2021-04-08,200,13170,6668
2021-04-09,200,12994,6550
2021-04-12,200,13038,6484
2021-04-13,200,13080,6708
2021-04-14,200,12932,7056
2021-04-15,200,12856,7432
2021-04-16,200,12766,7876
2021-04-19,200,12504,8096
2021-04-20,200,12228,8156
2021-04-21,200,12214,8150
2021-04-22,200,11994,8114
2021-04-23,200,11436,8360
2021-04-26,200,11032,8258
2021-04-27,200,10678,8262
2021-04-28,200,10368,8504
2021-04-29,200,10128,8518
2021-04-30,200,9902,8286
2021-05-03,200,9628,8354
2021-05-04,200,9524,8314
2021-05-05,200,9482,8086
2021-05-06,200,9826,8258
2021-05-07,200,9954,8298
2021-05-10,200,10460,8530
2021-05-11,200,11278,8462
2021-05-12,200,11816,8230
2021-05-13,200,12662,8224
2021-05-14,200,13272,8092
2021-05-17,200,13586,7970
2021-05-18,200,13902,8092
2021-05-19,200,14102,8332
2021-05-20,200,14066,8390
2021-05-21,200,14176,8316
2021-05-24,200,14258,8310
2021-05-25,200,14256,8424
2021-05-26,200,14326,8580
2021-05-27,200,14588,8842
2021-05-28,200,14952,8934
2021-06-01,200,15262,8934
2021-06-02,200,15404,8686
2021-06-03,200,15494,8514
2021-06-04,200,15574,8316
2021-06-07,200,15634,8016
2021-06-08,200,15732,7614
2021-06-09,200,15482,7104
2021-06-10,200,15198,6726
2021-06-11,200,14702,6624
2021-06-14,200,14502,6402
2021-06-15,200,14268,6180
2021-06-16,200,13788,6082
2021-06-17,200,13620,6414
2021-06-18,200,13626,6608
2021-06-21,200,13532,6872
2021-06-22,200,13130,7022
2021-06-23,200,12806,7212
2021-06-24,200,12536,7182
2021-06-25,200,12464,7316
2021-06-28,200,12342,7598
2021-06-29,200,12304,7926
2021-06-30,200,12184,8208
2021-07-01,200,12200,8294
2021-07-02,200,12070,8396
2021-07-06,200,11890,8640
2021-07-07,200,11810,8978
2021-07-08,200,11980,9044
2021-07-09,200,11852,9086
2021-07-12,200,11466,9104
2021-07-13,200,11302,9310
2021-07-14,200,11286,9428
2021-07-15,200,11416,9444
2021-07-16,200,11580,9288
2021-07-19,200,12356,8936
2021-07-20,200,12926,8530
2021-07-21,200,13134,8000
2021-07-22,200,13282,7748
2021-07-23,200,13558,7606
2021-07-26,200,13672,7566
2021-07-27,200,13886,7682
2021-07-28,200,14030,7778
2021-07-29,200,14112,7758
2021-07-30,200,14062,7784
2021-08-02,200,13828,7830
2021-08-03,200,13780,7760
2021-08-04,200,13680,7596
2021-08-05,200,13440,7692
2021-08-06,200,13278,7590
2021-08-09,200,12826,7422
2021-08-10,200,12250,7278
2021-08-11,200,11952,7198
2021-08-12,200,11480,7340
2021-08-13,200,10982,7564
2021-08-16,200,10444,8618
2021-08-17,200,10284,9176
2021-08-18,200,9942,9242
2021-08-19,200,10096,9066
2021-08-20,200,10256,9054
2021-08-23,200,10454,8576
2021-08-24,200,10770,8376
2021-08-25,200,10950,8282
2021-08-26,200,10972,8304
2021-08-27,200,11056,8196
2021-08-30,200,11222,7972
2021-08-31,200,11368,7736
2021-09-01,200,11698,7674
2021-09-02,200,12138,7520
2021-09-03,200,12416,7370
2021-09-07,200,12756,7122
2021-09-08,200,12978,6894
2021-09-09,200,13080,6890
2021-09-10,200,13060,6896
2021-09-13,200,13056,6876
2021-09-14,200,12984,6542
2021-09-15,200,12824,6250
2021-09-16,200,12528,6268
2021-09-17,200,12110,6836
2021-09-20,200,12334,7294
2021-09-21,200,12312,7348
2021-09-22,200,11998,7292
2021-09-23,200,11868,7138
2021-09-24,200,11894,6868
2021-09-27,200,11934,6818
2021-09-28,200,11986,7004
2021-09-29,200,11942,7222
2021-09-30,200,11988,7498
2021-10-01,200,11966,7808
2021-10-04,200,12046,8236
2021-10-05,200,12316,8476
2021-10-06,200,12734,8532
2021-10-07,200,13008,8494
2021-10-08,200,13242,8380
2021-10-11,200,13378,8264
2021-10-12,200,13292,8182
2021-10-13,200,13128,8298
2021-10-14,200,13094,8362
2021-10-15,200,13072,8192
2021-10-18,200,12616,8326
2021-10-19,200,12230,8662
2021-10-20,200,12072,8628
2021-10-21,200,12012,8558
2021-10-22,200,11894,8592
2021-10-25,200,11832,8670
2021-10-26,200,11798,8468
2021-10-27,200,11574,8414
2021-10-28,200,11272,8500
2021-10-29,200,11028,8638
2021-11-01,200,10944,8650
2021-11-02,200,10936,8838
2021-11-03,200,10890,9178
2021-11-04,200,10928,9170
2021-11-05,200,10888,9092
2021-11-08,200,10922,8784
2021-11-09,200,10798,8518
2021-11-10,200,10686,8260
2021-11-11,200,10638,8244
