dt,mae,mse,rmse,r2,WS-dist,KS-d,KS-p
2024-05-10,0.005782507507846796,8.01140792335889e-05,0.008950646861182096,0.6679804735001749,0.0044773029254433685,0.2736625514403292,2.0295161353378856e-16
2024-05-13,0.004628065498509586,4.8185666194217305e-05,0.006941589601396593,0.6984508824000595,0.002750879082241666,0.10699588477366255,0.007630892269853453
2024-05-14,0.0053117649152992046,5.699662630992779e-05,0.007549611003881444,0.5942228412659476,0.004038562604506253,0.19958847736625515,7.000714883122308e-09
2024-05-15,0.007068061461937299,8.856597200803893e-05,0.009410949580570439,0.682213755347035,0.005498147610613817,0.2037037037037037,3.092822558071116e-09
2024-05-16,0.004809258596852268,4.375449331839841e-05,0.006614717931884806,0.7793705311781682,0.0018014806176047983,0.07407407407407407,0.138963992900934
2024-05-17,0.00438697915245338,3.178015383832986e-05,0.005637388920265291,0.6891288095530204,0.0019949943278636624,0.12139917695473251,0.0015342961483839727
2024-05-20,0.004256509418378816,3.633168442169433e-05,0.006027576994256841,0.8079426789470047,0.0013590128108879876,0.05555555555555555,0.44168070319149727
2024-05-21,0.004379053464244436,3.759910442746853e-05,0.006131810860379544,0.8012320246552704,0.002085611568692053,0.13580246913580246,0.0002514491268386933
2024-05-22,0.005781087224558907,7.03346398682891e-05,0.008386574978397862,0.8057831114150301,0.0030475046769049504,0.1337448559670782,0.00032969101666200436
2024-05-23,0.00710510141775683,8.331866599138688e-05,0.009127905892995768,0.6103774302458242,0.0037070258845033808,0.17078189300411523,1.3215806873228717e-06
2024-05-24,0.00609409603261987,7.185994358657829e-05,0.008477024453579115,0.7596012999033138,0.005111516576544423,0.18106995884773663,2.237837439039763e-07
2024-05-28,0.0057786877987757515,6.643410745161042e-05,0.008150712082487665,0.7087150853906701,0.003047478296815531,0.09670781893004116,0.02118338924239792
2024-05-29,0.00848112521519457,0.00011635819901235122,0.010786945768490321,0.1438594975812213,0.006291562177597164,0.27983539094650206,3.6960966522765957e-17
2024-05-30,0.005839631515311934,8.232063758837069e-05,0.009073072114139217,0.8457716085906561,0.0037283621041074772,0.13168724279835392,0.00043047334165880336
2024-05-31,0.008471498994196825,0.00016063481419009687,0.012674179034166153,0.5520104382010846,0.005721273794611376,0.18930041152263374,5.007263153003779e-08
2024-06-03,0.004987765092919677,5.26733670900951e-05,0.007257641978638455,0.7817544299736048,0.0027394551016971646,0.12962962962962962,0.000559717110898765
2024-06-04,0.005898915903042274,5.4129017627040015e-05,0.00735724252876307,0.7041876181519742,0.003498976075075529,0.15020576131687244,3.356322448625365e-05
2024-06-05,0.0058059520362634415,7.110643838456877e-05,0.008432463363962441,0.7313283643968653,0.0032447889046353113,0.11934156378600823,0.0019537182255525472
2024-06-06,0.004793018653787854,4.406545147766548e-05,0.006638181338112532,0.7269056759731705,0.0024238013494804252,0.1419753086419753,0.00010878320446907415
2024-06-07,0.004481004716748334,3.6266569223839066e-05,0.0060221731313404685,0.713993327779332,0.003277638038019049,0.15637860082304528,1.3294302711289927e-05
OVERALL,0.0056967651586835606,6.694879103349458e-05,0.008182224088442859,0.7529337422578419,0.0008867010101323709,0.029835390946502057,0.00034916881952096266
