dt,mae,mse,rmse,r2,WS-dist,KS-d,KS-p
2024-05-10,0.004962436881985048,5.532811977023212e-05,0.007438287421862113,0.770701775468497,0.002722685791893418,0.13991769547325103,0.00014443702985724198
2024-05-13,0.004333286780788615,3.822016735362266e-05,0.006182246141462071,0.7608156397889525,0.00219825223328273,0.10699588477366255,0.007630892269853453
2024-05-14,0.00406514857625457,3.7737898855476156e-05,0.006143118007614387,0.7313318635580212,0.0017997565961609576,0.07613168724279835,0.11958172913411204
2024-05-15,0.005885534605147472,7.06953861926485e-05,0.008408054840011957,0.7463357451729469,0.004332699795679248,0.15637860082304528,1.3294302711289927e-05
2024-05-16,0.004252763838700735,3.7254094532173254e-05,0.00610361323579511,0.8121484111755095,0.001323583253991261,0.07407407407407407,0.138963992900934
2024-05-17,0.0038347607322490045,3.032308011025217e-05,0.00550663963867731,0.7033818004831718,0.0018322511021754873,0.1337448559670782,0.00032969101666200436
2024-05-20,0.0040691873537949275,3.7947011881186615e-05,0.006160114599679669,0.7994037006576253,0.0021602825460988865,0.0823045267489712,0.07431713456272855
2024-05-21,0.004012146974981708,3.941462477413182e-05,0.006278106782632151,0.791634261384085,0.0015883967721774116,0.07613168724279835,0.11958172913411204
2024-05-22,0.003941760726142609,4.391813128543891e-05,0.006627075620923524,0.8787277104610608,0.001248705554410175,0.04938271604938271,0.5944608508399458
2024-05-23,0.0060333860462233255,8.474509398053841e-05,0.009205709857503571,0.6037070337375561,0.003130257571506352,0.102880658436214,0.011624012877020919
2024-05-24,0.005928069123637587,7.405327476681938e-05,0.008605421242845662,0.7522637772405494,0.004800041176829782,0.18106995884773663,2.237837439039763e-07
2024-05-28,0.004783108711478507,5.454184676416063e-05,0.007385245206772801,0.7608575205303136,0.0013824659064604196,0.059670781893004114,0.3527222371031239
2024-05-29,0.006939517912004964,8.980380766613495e-05,0.009476487095233917,0.33924143148483277,0.004188929212343762,0.17078189300411523,1.3215806873228717e-06
2024-05-30,0.005776791433131842,9.32796030477863e-05,0.009658136623996696,0.825239896691537,0.0026937480783838764,0.0823045267489712,0.07431713456272855
2024-05-31,0.008067915454340149,0.00014116885976903646,0.011881450238461485,0.60629844815121,0.005424100385625554,0.20781893004115226,1.3431284758207683e-09
2024-06-03,0.005882498998299467,7.029184680692116e-05,0.008384023306678074,0.7087544422906407,0.002973834267869888,0.14814814814814814,4.531846011549688e-05
2024-06-04,0.004975814556898654,4.880665265787011e-05,0.006986175825003985,0.7332740772752993,0.00197760808316681,0.09259259259259259,0.03095579752029876
2024-06-05,0.004648999074935729,4.924309176128027e-05,0.007017342214918713,0.81393777685637,0.0018060277273924362,0.04938271604938271,0.5944608508399458
2024-06-06,0.004198805007406494,3.2552047294641005e-05,0.0057054401490718495,0.7982596557276816,0.0016940037040010137,0.08847736625514403,0.044492149585522583
2024-06-07,0.0041677207293101546,3.439582035965419e-05,0.005864794997240244,0.7287464921579028,0.0030826491776565403,0.13991769547325103,0.00014443702985724198
OVERALL,0.005027125097518293,5.850309453325525e-05,0.0076487315636813435,0.7841015437390698,0.0007161966218542463,0.028189300411522632,0.0008837406331887694
